smoothed;3
(;w;i;e;d;r;a;u;f;n;h;m; ;s;t;z;g;p;o;);c;k;l;ä;,;.;b;ü;j;ß;ö;v;x;?;q;!;y;#
mh;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
mm;0.001901;0.001901;0.351711;0.349810;0.001901;0.003802;0.011407;0.068441;0.001901;0.003802;0.001901;0.003802;0.045627;0.015209;0.072243;0.003802;0.001901;0.015209;0.001901;0.001901;0.001901;0.007605;0.001901;0.001901;0.001901;0.001901;0.001901;0.001901;0.001901;0.001901;0.001901;0.001901;0.001901;0.001901;0.001901;0.001901;0.001901;0.001901
m ;0.001280;0.034571;0.024328;0.071703;0.083227;0.025608;0.066581;0.019206;0.035851;0.035851;0.047375;0.035851;0.015365;0.076825;0.029449;0.053777;0.051216;0.052497;0.005122;0.001280;0.005122;0.024328;0.023047;0.002561;0.001280;0.021767;0.070423;0.010243;0.015365;0.001280;0.002561;0.046095;0.002561;0.001280;0.001280;0.001280;0.001280;0.001280
ms;0.009615;0.009615;0.009615;0.230769;0.009615;0.009615;0.009615;0.009615;0.009615;0.009615;0.009615;0.009615;0.230769;0.009615;0.125000;0.009615;0.009615;0.009615;0.009615;0.009615;0.028846;0.009615;0.009615;0.009615;0.048077;0.019231;0.019231;0.009615;0.009615;0.009615;0.009615;0.009615;0.009615;0.009615;0.009615;0.009615;0.009615;0.009615
mt;0.010309;0.010309;0.010309;0.195876;0.010309;0.010309;0.020619;0.010309;0.010309;0.010309;0.010309;0.010309;0.175258;0.010309;0.010309;0.010309;0.010309;0.010309;0.010309;0.010309;0.010309;0.010309;0.072165;0.010309;0.051546;0.154639;0.010309;0.010309;0.010309;0.010309;0.010309;0.010309;0.010309;0.010309;0.010309;0.010309;0.010309;0.010309
mz;0.023256;0.023256;0.046512;0.046512;0.023256;0.023256;0.023256;0.093023;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256
mg;0.021277;0.021277;0.021277;0.212766;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277
mp;0.012195;0.012195;0.012195;0.109756;0.012195;0.036585;0.012195;0.024390;0.231707;0.012195;0.036585;0.012195;0.012195;0.024390;0.012195;0.012195;0.012195;0.012195;0.024390;0.012195;0.012195;0.012195;0.146341;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195
mo;0.009091;0.009091;0.009091;0.009091;0.109091;0.172727;0.009091;0.009091;0.009091;0.254545;0.009091;0.018182;0.018182;0.018182;0.036364;0.009091;0.018182;0.009091;0.009091;0.009091;0.009091;0.081818;0.009091;0.009091;0.009091;0.009091;0.018182;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091
m);0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
mc;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.075000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000
mk;0.020000;0.020000;0.020000;0.200000;0.020000;0.020000;0.080000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000
ml;0.020408;0.020408;0.244898;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408
mä;0.019231;0.019231;0.019231;0.019231;0.019231;0.038462;0.019231;0.019231;0.019231;0.076923;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.211538;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231
m,;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.339286;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857
m.;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.159091;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
mb;0.017857;0.017857;0.017857;0.196429;0.017857;0.017857;0.125000;0.053571;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857
mü;0.010417;0.010417;0.010417;0.010417;0.010417;0.010417;0.010417;0.010417;0.010417;0.072917;0.083333;0.010417;0.010417;0.468750;0.010417;0.010417;0.010417;0.010417;0.010417;0.010417;0.010417;0.010417;0.010417;0.010417;0.010417;0.010417;0.010417;0.010417;0.010417;0.020833;0.010417;0.010417;0.010417;0.010417;0.010417;0.010417;0.010417;0.010417
mj;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
mß;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
mö;0.005988;0.005988;0.005988;0.005988;0.005988;0.005988;0.005988;0.005988;0.005988;0.005988;0.005988;0.005988;0.005988;0.005988;0.005988;0.005988;0.239521;0.005988;0.005988;0.005988;0.544910;0.005988;0.005988;0.005988;0.005988;0.005988;0.005988;0.005988;0.005988;0.005988;0.005988;0.005988;0.005988;0.005988;0.005988;0.005988;0.005988;0.005988
mv;0.025000;0.025000;0.025000;0.050000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.050000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000
mx;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
m?;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
mq;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
m!;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
my;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
m#;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.075000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000
 (;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
 w;0.000788;0.000788;0.408983;0.295508;0.000788;0.000788;0.092987;0.050433;0.000788;0.000788;0.000788;0.000788;0.000788;0.000788;0.000788;0.000788;0.000788;0.000788;0.082742;0.000788;0.000788;0.000788;0.000788;0.024429;0.000788;0.001576;0.000788;0.018125;0.000788;0.000788;0.001576;0.000788;0.000788;0.000788;0.000788;0.000788;0.001576;0.000788
 i;0.000753;0.000753;0.000753;0.000753;0.002259;0.002259;0.000753;0.000753;0.000753;0.419428;0.114458;0.128012;0.001506;0.147590;0.003012;0.000753;0.001506;0.000753;0.000753;0.000753;0.158886;0.000753;0.000753;0.000753;0.000753;0.000753;0.000753;0.000753;0.000753;0.000753;0.000753;0.000753;0.000753;0.000753;0.000753;0.000753;0.000753;0.000753
 e;0.000660;0.000660;0.390501;0.000660;0.000660;0.209103;0.001979;0.097625;0.013193;0.114776;0.003298;0.007256;0.000660;0.091689;0.012533;0.000660;0.004617;0.000660;0.000660;0.000660;0.001979;0.000660;0.005277;0.000660;0.000660;0.000660;0.017810;0.000660;0.000660;0.000660;0.000660;0.007256;0.006596;0.000660;0.000660;0.000660;0.000660;0.000660
 d;0.000264;0.000264;0.322683;0.435173;0.000264;0.005809;0.201479;0.014259;0.000264;0.000264;0.000264;0.000264;0.000264;0.000264;0.000264;0.000264;0.000264;0.000264;0.009770;0.000264;0.000264;0.000264;0.000264;0.000264;0.000264;0.000528;0.000264;0.002112;0.000264;0.000264;0.000264;0.000264;0.000264;0.000264;0.000264;0.000264;0.000264;0.000528
 r;0.002045;0.002045;0.104294;0.591002;0.002045;0.002045;0.167689;0.014315;0.002045;0.002045;0.004090;0.002045;0.002045;0.002045;0.002045;0.002045;0.002045;0.002045;0.034765;0.002045;0.002045;0.002045;0.002045;0.010225;0.002045;0.002045;0.002045;0.010225;0.002045;0.002045;0.002045;0.002045;0.002045;0.002045;0.002045;0.002045;0.002045;0.004090
 a;0.000650;0.000650;0.000650;0.000650;0.001951;0.078023;0.000650;0.424577;0.000650;0.193108;0.001300;0.028609;0.004551;0.008453;0.001300;0.001300;0.003251;0.002601;0.000650;0.000650;0.004551;0.013004;0.115085;0.000650;0.000650;0.001951;0.102731;0.000650;0.000650;0.000650;0.000650;0.000650;0.000650;0.000650;0.000650;0.000650;0.000650;0.000650
 u;0.000853;0.000853;0.000853;0.000853;0.000853;0.002558;0.000853;0.000853;0.000853;0.843137;0.005115;0.113384;0.000853;0.004263;0.000853;0.000853;0.000853;0.000853;0.000853;0.000853;0.000853;0.000853;0.000853;0.000853;0.000853;0.004263;0.000853;0.000853;0.000853;0.000853;0.000853;0.000853;0.000853;0.000853;0.000853;0.000853;0.000853;0.000853
 f;0.001346;0.001346;0.052490;0.065949;0.001346;0.231494;0.041723;0.012113;0.002692;0.001346;0.001346;0.001346;0.001346;0.001346;0.001346;0.001346;0.001346;0.001346;0.086137;0.001346;0.001346;0.001346;0.026918;0.006729;0.001346;0.001346;0.001346;0.397039;0.001346;0.001346;0.040377;0.001346;0.001346;0.001346;0.001346;0.001346;0.001346;0.001346
 n;0.001626;0.001626;0.341463;0.099187;0.001626;0.003252;0.198374;0.133333;0.001626;0.001626;0.001626;0.001626;0.001626;0.001626;0.001626;0.001626;0.003252;0.001626;0.131707;0.001626;0.001626;0.001626;0.001626;0.030894;0.001626;0.001626;0.001626;0.001626;0.001626;0.001626;0.011382;0.001626;0.001626;0.001626;0.001626;0.001626;0.001626;0.001626
 h;0.001445;0.001445;0.174855;0.277457;0.001445;0.001445;0.394509;0.007225;0.001445;0.001445;0.001445;0.001445;0.001445;0.001445;0.001445;0.001445;0.001445;0.001445;0.040462;0.001445;0.001445;0.001445;0.001445;0.044798;0.001445;0.002890;0.001445;0.001445;0.001445;0.001445;0.013006;0.001445;0.001445;0.001445;0.001445;0.001445;0.002890;0.001445
 m;0.001117;0.001117;0.336313;0.208939;0.001117;0.001117;0.125140;0.050279;0.001117;0.001117;0.001117;0.001117;0.001117;0.001117;0.001117;0.001117;0.001117;0.001117;0.045810;0.001117;0.003352;0.001117;0.001117;0.005587;0.001117;0.001117;0.001117;0.058101;0.001117;0.001117;0.134078;0.001117;0.001117;0.001117;0.001117;0.001117;0.001117;0.001117
  ;0.003906;0.062500;0.054688;0.042969;0.105469;0.011719;0.054688;0.101562;0.039062;0.054688;0.019531;0.019531;0.046875;0.035156;0.003906;0.023438;0.039062;0.007812;0.015625;0.003906;0.074219;0.015625;0.015625;0.007812;0.003906;0.015625;0.046875;0.003906;0.015625;0.003906;0.003906;0.023438;0.003906;0.003906;0.003906;0.003906;0.003906;0.003906
 s;0.000656;0.001969;0.286745;0.137139;0.000656;0.003281;0.030840;0.009843;0.000656;0.000656;0.000656;0.000656;0.000656;0.000656;0.192257;0.000656;0.000656;0.030184;0.167323;0.000656;0.110236;0.001312;0.000656;0.004593;0.000656;0.000656;0.000656;0.002625;0.000656;0.000656;0.000656;0.000656;0.000656;0.000656;0.000656;0.000656;0.005249;0.001312
 t;0.004149;0.004149;0.012448;0.211618;0.004149;0.195021;0.224066;0.082988;0.004149;0.004149;0.062241;0.004149;0.004149;0.004149;0.004149;0.004149;0.004149;0.004149;0.033195;0.004149;0.004149;0.004149;0.004149;0.053942;0.004149;0.004149;0.004149;0.004149;0.004149;0.004149;0.004149;0.004149;0.004149;0.004149;0.004149;0.004149;0.004149;0.004149
 z;0.001241;0.093052;0.086849;0.084367;0.001241;0.001241;0.009926;0.676179;0.001241;0.001241;0.001241;0.001241;0.001241;0.001241;0.001241;0.001241;0.001241;0.001241;0.002481;0.001241;0.001241;0.001241;0.001241;0.003722;0.001241;0.002481;0.001241;0.003722;0.001241;0.001241;0.002481;0.001241;0.001241;0.001241;0.001241;0.001241;0.001241;0.001241
 g;0.001279;0.001279;0.040921;0.648338;0.001279;0.117647;0.054987;0.023018;0.001279;0.001279;0.001279;0.001279;0.001279;0.001279;0.001279;0.001279;0.001279;0.001279;0.005115;0.001279;0.001279;0.001279;0.047315;0.003836;0.001279;0.001279;0.001279;0.021739;0.001279;0.001279;0.001279;0.001279;0.001279;0.001279;0.001279;0.001279;0.001279;0.001279
 p;0.001600;0.001600;0.001600;0.043200;0.001600;0.510400;0.187200;0.059200;0.012800;0.001600;0.008000;0.001600;0.001600;0.003200;0.001600;0.001600;0.001600;0.006400;0.097600;0.001600;0.001600;0.001600;0.027200;0.001600;0.001600;0.001600;0.001600;0.001600;0.001600;0.001600;0.001600;0.001600;0.001600;0.001600;0.001600;0.001600;0.001600;0.001600
 o;0.005814;0.005814;0.005814;0.005814;0.302326;0.087209;0.005814;0.005814;0.098837;0.005814;0.040698;0.005814;0.005814;0.052326;0.005814;0.005814;0.005814;0.075581;0.005814;0.005814;0.005814;0.011628;0.005814;0.005814;0.005814;0.011628;0.151163;0.005814;0.005814;0.005814;0.005814;0.005814;0.005814;0.005814;0.005814;0.005814;0.005814;0.005814
 );0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
 c;0.010638;0.010638;0.010638;0.106383;0.010638;0.053191;0.031915;0.021277;0.010638;0.010638;0.159574;0.010638;0.138298;0.010638;0.010638;0.010638;0.010638;0.010638;0.159574;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638
 k;0.001389;0.001389;0.004167;0.059722;0.001389;0.022222;0.097222;0.026389;0.001389;0.005556;0.001389;0.004167;0.001389;0.001389;0.001389;0.001389;0.001389;0.001389;0.593056;0.001389;0.001389;0.001389;0.050000;0.006944;0.002778;0.001389;0.001389;0.011111;0.001389;0.001389;0.081944;0.001389;0.001389;0.001389;0.001389;0.001389;0.001389;0.001389
 l;0.002584;0.002584;0.098191;0.351421;0.002584;0.002584;0.217054;0.010336;0.002584;0.002584;0.002584;0.002584;0.002584;0.002584;0.002584;0.002584;0.002584;0.002584;0.046512;0.002584;0.002584;0.002584;0.002584;0.175711;0.002584;0.002584;0.002584;0.005168;0.002584;0.002584;0.012920;0.002584;0.002584;0.002584;0.002584;0.002584;0.007752;0.002584
 ä;0.008264;0.008264;0.008264;0.008264;0.008264;0.066116;0.008264;0.206612;0.008264;0.429752;0.016529;0.008264;0.008264;0.008264;0.008264;0.008264;0.008264;0.008264;0.008264;0.008264;0.008264;0.008264;0.008264;0.008264;0.008264;0.008264;0.008264;0.008264;0.008264;0.008264;0.008264;0.008264;0.008264;0.008264;0.008264;0.008264;0.008264;0.008264
 ,;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.430769;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385
 .;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.292308;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.138462;0.015385;0.015385;0.015385;0.015385;0.015385;0.030769;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385
 b;0.000938;0.000938;0.070356;0.786116;0.000938;0.032833;0.018762;0.004690;0.000938;0.000938;0.000938;0.000938;0.002814;0.000938;0.000938;0.010319;0.000938;0.000938;0.005629;0.000938;0.000938;0.000938;0.014071;0.000938;0.000938;0.001876;0.000938;0.026266;0.000938;0.000938;0.001876;0.000938;0.000938;0.000938;0.000938;0.000938;0.000938;0.000938
 ü;0.005618;0.005618;0.005618;0.005618;0.005618;0.005618;0.005618;0.005618;0.005618;0.005618;0.005618;0.005618;0.005618;0.005618;0.005618;0.005618;0.005618;0.005618;0.005618;0.005618;0.005618;0.005618;0.005618;0.005618;0.005618;0.005618;0.792135;0.005618;0.005618;0.005618;0.005618;0.005618;0.005618;0.005618;0.005618;0.005618;0.005618;0.005618
 j;0.005556;0.005556;0.011111;0.322222;0.005556;0.005556;0.350000;0.083333;0.005556;0.005556;0.005556;0.005556;0.005556;0.005556;0.005556;0.005556;0.005556;0.005556;0.011111;0.005556;0.005556;0.005556;0.005556;0.022222;0.005556;0.005556;0.005556;0.027778;0.005556;0.005556;0.005556;0.005556;0.005556;0.005556;0.005556;0.005556;0.005556;0.005556
 ß;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
 ö;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.224138;0.017241;0.017241;0.017241;0.017241;0.120690;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.051724;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241
 v;0.001055;0.001055;0.054852;0.400844;0.001055;0.001055;0.009494;0.001055;0.001055;0.001055;0.001055;0.001055;0.001055;0.001055;0.001055;0.001055;0.001055;0.001055;0.495781;0.001055;0.001055;0.001055;0.001055;0.001055;0.001055;0.001055;0.001055;0.001055;0.001055;0.001055;0.004219;0.001055;0.001055;0.001055;0.001055;0.001055;0.001055;0.001055
 x;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.051282;0.025641;0.025641;0.025641;0.025641;0.025641
 ?;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
 q;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.274510;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608
 !;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
 y;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
 #;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
s(;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
sw;0.012500;0.012500;0.187500;0.262500;0.012500;0.012500;0.037500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.037500;0.012500;0.012500;0.012500;0.012500;0.025000;0.012500;0.050000;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500
si;0.000980;0.000980;0.000980;0.197059;0.112745;0.000980;0.000980;0.000980;0.002941;0.127451;0.000980;0.001961;0.001961;0.010784;0.056863;0.000980;0.034314;0.000980;0.185294;0.000980;0.234314;0.002941;0.000980;0.000980;0.000980;0.000980;0.001961;0.000980;0.000980;0.000980;0.000980;0.005882;0.000980;0.000980;0.000980;0.000980;0.000980;0.000980
se;0.000907;0.000907;0.080689;0.005440;0.000907;0.180417;0.001813;0.001813;0.002720;0.226655;0.079782;0.052584;0.134180;0.051677;0.063463;0.000907;0.001813;0.005440;0.000907;0.000907;0.014506;0.017226;0.047144;0.000907;0.006346;0.003626;0.002720;0.000907;0.000907;0.000907;0.000907;0.000907;0.001813;0.000907;0.003626;0.000907;0.000907;0.000907
sd;0.018182;0.018182;0.054545;0.072727;0.018182;0.200000;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.054545;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182
sr;0.014706;0.014706;0.132353;0.294118;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.058824;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706
