unsmoothed;3
(;r;e;s;u;m;p;t;i;o;n; ;f;h;);d;c;l;a;j;y;b;,;w;k;g;v;.;q;x;?;z;ó;ä;#
uk;0.002128;0.017358;0.191591;0.032718;0.008381;0.008065;0.007131;0.026507;0.062269;0.030054;0.031968;0.470249;0.005706;0.013019;0.002128;0.008925;0.008616;0.012702;0.025219;0.000421;0.004093;0.003391;0.005557;0.004786;0.001336;0.004920;0.003379;0.006321;0.000323;0.000549;0.000051;0.000094;0.000011;0.000011;0.000021
ug;0.002128;0.065024;0.082691;0.020442;0.042937;0.008065;0.007131;0.028122;0.069064;0.040512;0.023638;0.156891;0.006191;0.288403;0.002289;0.010541;0.008616;0.011179;0.042109;0.000421;0.006840;0.003391;0.007635;0.004255;0.001336;0.050934;0.002849;0.005306;0.000323;0.000549;0.000051;0.000094;0.000011;0.000011;0.000021
uv;0.003191;0.026037;0.413182;0.026784;0.011776;0.012098;0.010697;0.039760;0.103420;0.066745;0.029640;0.080372;0.008559;0.018733;0.003191;0.013387;0.012924;0.015072;0.062354;0.000632;0.006887;0.005087;0.005524;0.006382;0.002004;0.006583;0.004273;0.003111;0.000485;0.000823;0.000076;0.000140;0.000016;0.000016;0.000032
u.;0.002128;0.017358;0.035504;0.017856;0.007851;0.009775;0.007131;0.026507;0.021399;0.022092;0.019760;0.057000;0.005706;0.012489;0.661273;0.008925;0.008616;0.010048;0.019911;0.000421;0.004093;0.003391;0.003434;0.004255;0.001336;0.004389;0.002849;0.003442;0.000323;0.000549;0.000051;0.000094;0.000011;0.000011;0.000021
uq;0.003191;0.026037;0.051718;0.026784;0.511776;0.012098;0.010697;0.039760;0.032098;0.033138;0.029640;0.080372;0.008559;0.018733;0.003191;0.013387;0.012924;0.015072;0.029867;0.000632;0.006140;0.005087;0.005150;0.006382;0.002004;0.006583;0.004273;0.003111;0.000485;0.000823;0.000076;0.000140;0.000016;0.000016;0.000032
ux;0.002128;0.017358;0.384608;0.017856;0.007851;0.008065;0.085943;0.122114;0.061450;0.023384;0.019760;0.062626;0.005706;0.012489;0.002128;0.008925;0.040916;0.010048;0.067715;0.000421;0.004093;0.003391;0.008602;0.004255;0.001336;0.004389;0.004141;0.005950;0.000323;0.001841;0.000051;0.000094;0.000011;0.000011;0.000021
u?;0.002128;0.017358;0.034479;0.017856;0.007851;0.008065;0.007131;0.026507;0.021399;0.022092;0.019760;0.053582;0.005706;0.012489;0.668794;0.008925;0.008616;0.010048;0.019911;0.000421;0.004093;0.003391;0.003434;0.004255;0.001336;0.004389;0.002849;0.002074;0.000323;0.000549;0.000051;0.000094;0.000011;0.000011;0.000021
uz;0.003191;0.026037;0.347172;0.026784;0.011776;0.012098;0.010697;0.039760;0.077552;0.124047;0.029640;0.114463;0.008559;0.018733;0.003191;0.013387;0.012924;0.015072;0.029867;0.000632;0.006140;0.005087;0.027878;0.006382;0.002004;0.006583;0.004273;0.003111;0.000485;0.000823;0.000076;0.000140;0.000016;0.000016;0.011395
uó;0.003191;0.026037;0.051718;0.026784;0.011776;0.012098;0.010697;0.039760;0.032098;0.033138;0.529640;0.080372;0.008559;0.018733;0.003191;0.013387;0.012924;0.015072;0.029867;0.000632;0.006140;0.005087;0.005150;0.006382;0.002004;0.006583;0.004273;0.003111;0.000485;0.000823;0.000076;0.000140;0.000016;0.000016;0.000032
uä;0.003191;0.026037;0.051718;0.026784;0.011776;0.012098;0.010697;0.039760;0.032098;0.033138;0.529640;0.080372;0.008559;0.018733;0.003191;0.013387;0.012924;0.015072;0.029867;0.000632;0.006140;0.005087;0.005150;0.006382;0.002004;0.006583;0.004273;0.003111;0.000485;0.000823;0.000076;0.000140;0.000016;0.000016;0.000032
u#;0.003191;0.026037;0.101718;0.026784;0.011776;0.012098;0.010697;0.039760;0.032098;0.033138;0.179640;0.130372;0.008559;0.018733;0.203191;0.013387;0.012924;0.065072;0.029867;0.000632;0.006140;0.005087;0.005150;0.006382;0.002004;0.006583;0.004273;0.003111;0.000485;0.000823;0.000076;0.000140;0.000016;0.000016;0.000032
m(;0.003191;0.030038;0.056218;0.040785;0.014276;0.063598;0.019197;0.166260;0.146598;0.044638;0.036640;0.080372;0.028559;0.031233;0.003191;0.016387;0.020424;0.022072;0.064867;0.001632;0.012640;0.014587;0.005150;0.055883;0.002504;0.008083;0.005773;0.003112;0.000985;0.000824;0.000077;0.000140;0.000016;0.000016;0.000032
mr;0.002128;0.020422;0.127178;0.105658;0.015531;0.013172;0.008112;0.050897;0.044155;0.058575;0.024173;0.363746;0.005951;0.012611;0.002128;0.016442;0.010904;0.016095;0.050021;0.000421;0.011202;0.003841;0.009153;0.005113;0.004482;0.007821;0.004728;0.004076;0.000323;0.000549;0.000051;0.000094;0.000215;0.000011;0.000021
me;0.002128;0.054825;0.045352;0.067582;0.012149;0.042609;0.011821;0.040301;0.023702;0.023515;0.245545;0.209234;0.009532;0.013044;0.002148;0.031651;0.021249;0.024585;0.046998;0.000545;0.005883;0.004625;0.014916;0.008432;0.001686;0.011321;0.009348;0.007880;0.002092;0.004992;0.000092;0.000176;0.000011;0.000011;0.000021
ms;0.002128;0.017636;0.092364;0.039859;0.019845;0.009614;0.017100;0.091537;0.089364;0.036191;0.019760;0.352331;0.006262;0.022338;0.002326;0.009441;0.011635;0.012034;0.029959;0.000421;0.004610;0.003550;0.048880;0.004612;0.002925;0.004429;0.002849;0.044582;0.000323;0.000549;0.000329;0.000094;0.000011;0.000011;0.000101
mu;0.002128;0.086283;0.047848;0.196573;0.007941;0.062992;0.020591;0.056022;0.034226;0.022453;0.138609;0.064241;0.006880;0.012489;0.002128;0.012900;0.084588;0.069052;0.031384;0.000421;0.004093;0.009353;0.004698;0.004255;0.001517;0.009809;0.002849;0.002436;0.000323;0.000639;0.000141;0.000094;0.000011;0.000011;0.000021
mm;0.002128;0.033185;0.207184;0.024011;0.045689;0.043412;0.037730;0.026507;0.276039;0.056838;0.019936;0.076179;0.005882;0.012489;0.002128;0.008925;0.008792;0.010224;0.053789;0.000421;0.011040;0.014206;0.005544;0.004255;0.001336;0.004389;0.002849;0.003657;0.000323;0.000549;0.000051;0.000094;0.000011;0.000011;0.000197
mp;0.002128;0.130391;0.151841;0.020903;0.014477;0.014728;0.025429;0.040507;0.027826;0.155166;0.019760;0.063824;0.005706;0.020921;0.002327;0.008925;0.008616;0.188024;0.068415;0.000421;0.004292;0.003391;0.004329;0.004255;0.001435;0.004488;0.002849;0.003467;0.000323;0.000549;0.000051;0.000094;0.000011;0.000110;0.000021
mt;0.003192;0.044859;0.098231;0.038664;0.022772;0.012620;0.010778;0.046302;0.088604;0.078808;0.030162;0.174160;0.008599;0.172237;0.003192;0.013428;0.013567;0.019006;0.052020;0.000632;0.015210;0.005087;0.016107;0.009232;0.002004;0.006624;0.004273;0.007486;0.000485;0.000824;0.000398;0.000301;0.000016;0.000016;0.000113
mi;0.002128;0.025668;0.048783;0.220181;0.008282;0.017544;0.009252;0.112448;0.021465;0.066103;0.172001;0.065280;0.010843;0.012522;0.002128;0.024711;0.064710;0.026437;0.030086;0.000454;0.004093;0.006341;0.003533;0.004255;0.005015;0.016806;0.013553;0.002174;0.000323;0.001799;0.000051;0.000955;0.000011;0.000011;0.000054
mo;0.002128;0.172345;0.035955;0.067541;0.050809;0.034975;0.022187;0.076402;0.024480;0.028250;0.184019;0.094221;0.038834;0.013933;0.002128;0.036493;0.014170;0.017977;0.021292;0.000967;0.006501;0.007468;0.005579;0.012280;0.003224;0.009198;0.013060;0.002331;0.000323;0.000742;0.000051;0.000094;0.000011;0.000011;0.000021
mn;0.002128;0.017358;0.390781;0.039102;0.010614;0.008640;0.007167;0.076248;0.033062;0.037022;0.022703;0.139463;0.008075;0.012740;0.002235;0.054216;0.023833;0.012919;0.032508;0.000673;0.005995;0.003427;0.007956;0.004291;0.003884;0.031844;0.004643;0.005268;0.000359;0.000585;0.000087;0.000130;0.000011;0.000011;0.000021
m ;0.002128;0.044874;0.050480;0.054994;0.017287;0.027124;0.073108;0.168439;0.068397;0.086812;0.029951;0.067941;0.022634;0.027669;0.002141;0.019275;0.040169;0.015898;0.083242;0.002817;0.008024;0.020703;0.003672;0.034312;0.002236;0.009604;0.010353;0.002405;0.002441;0.000562;0.000064;0.000200;0.000011;0.000011;0.000021
mf;0.002128;0.030160;0.058963;0.017981;0.362810;0.008438;0.007131;0.032348;0.054956;0.084608;0.019760;0.188183;0.021739;0.012613;0.002128;0.008925;0.008616;0.014025;0.034328;0.000421;0.005336;0.003391;0.004179;0.004628;0.001336;0.004389;0.002849;0.002571;0.000323;0.000549;0.000051;0.000094;0.000011;0.000011;0.000021
mh;0.003192;0.029786;0.293626;0.027637;0.013735;0.012609;0.010697;0.045638;0.101093;0.062184;0.030663;0.127391;0.008559;0.018818;0.003192;0.013728;0.013010;0.016350;0.120072;0.000717;0.008951;0.005087;0.007876;0.006553;0.002004;0.006584;0.004273;0.004134;0.000485;0.000824;0.000077;0.000141;0.000016;0.000272;0.000032
m);0.006383;0.052075;0.103436;0.053569;0.023552;0.024196;0.021394;0.079520;0.064196;0.066276;0.059281;0.160745;0.017118;0.037466;0.006383;0.026775;0.025849;0.030145;0.059734;0.001264;0.012280;0.010174;0.010301;0.012765;0.004008;0.013167;0.008546;0.006223;0.000970;0.001647;0.000153;0.000281;0.000032;0.000032;0.000064
md;0.003192;0.033427;0.142302;0.048716;0.025721;0.019607;0.011532;0.042740;0.076198;0.052447;0.030237;0.303853;0.008917;0.018972;0.003549;0.016606;0.012925;0.018768;0.056447;0.000871;0.009597;0.005206;0.020169;0.006621;0.002123;0.008133;0.007134;0.011813;0.000485;0.000824;0.000434;0.000141;0.000016;0.000016;0.000271
mc;0.002128;0.025918;0.080898;0.018432;0.020855;0.008065;0.007131;0.066836;0.048559;0.110981;0.019760;0.064446;0.005706;0.048785;0.002128;0.008925;0.350756;0.020666;0.048800;0.000421;0.012488;0.003391;0.003763;0.004255;0.004628;0.004389;0.002849;0.002815;0.000488;0.000549;0.000051;0.000094;0.000011;0.000011;0.000021
ml;0.002128;0.018840;0.081130;0.028090;0.013991;0.008136;0.007908;0.032012;0.069108;0.043477;0.019901;0.117242;0.008741;0.012489;0.002128;0.027698;0.008828;0.046395;0.048918;0.000421;0.371021;0.003462;0.006610;0.005384;0.001477;0.004530;0.005319;0.003486;0.000323;0.000549;0.000051;0.000094;0.000011;0.000081;0.000021
ma;0.002128;0.075483;0.034586;0.047682;0.011555;0.021813;0.013977;0.136302;0.050160;0.022128;0.137442;0.070214;0.009303;0.012560;0.002163;0.075988;0.021881;0.067529;0.019911;0.016900;0.029962;0.009660;0.003790;0.005715;0.060790;0.018527;0.010969;0.003613;0.000323;0.006721;0.000051;0.000129;0.000011;0.000011;0.000021
mj;0.003191;0.026037;0.271415;0.026784;0.153190;0.012098;0.010697;0.039760;0.034623;0.144249;0.029640;0.080372;0.008559;0.018733;0.003191;0.013387;0.012924;0.015072;0.052594;0.000632;0.006140;0.005087;0.005150;0.006382;0.002004;0.006583;0.006798;0.003111;0.000485;0.000823;0.000076;0.000140;0.000016;0.000016;0.000032
my;0.002128;0.017358;0.047992;0.046169;0.007851;0.018980;0.008864;0.028066;0.024344;0.050332;0.020973;0.576255;0.005879;0.012489;0.002474;0.009272;0.008790;0.010048;0.019911;0.000421;0.004093;0.003391;0.031154;0.004428;0.001336;0.004389;0.002849;0.028531;0.000323;0.000549;0.000224;0.000094;0.000011;0.000011;0.000021
mb;0.002128;0.027814;0.463933;0.029776;0.037964;0.009738;0.007131;0.028180;0.039357;0.040695;0.019760;0.057965;0.005706;0.012489;0.002128;0.008925;0.008825;0.055627;0.073360;0.013387;0.031488;0.003391;0.003434;0.004255;0.001336;0.004389;0.003267;0.002493;0.000323;0.000549;0.000051;0.000094;0.000011;0.000011;0.000021
m,;0.002128;0.017358;0.034479;0.017856;0.007851;0.008065;0.007131;0.026507;0.021399;0.022092;0.019760;0.720248;0.005706;0.012489;0.002128;0.008925;0.008616;0.010048;0.019911;0.000421;0.004093;0.003391;0.003434;0.004255;0.001336;0.004389;0.002849;0.002074;0.000323;0.000549;0.000051;0.000094;0.000011;0.000011;0.000021
mw;0.003191;0.028287;0.172218;0.030034;0.013026;0.012098;0.010947;0.042760;0.117098;0.097638;0.040640;0.122122;0.008559;0.126483;0.003191;0.013387;0.012924;0.016572;0.080617;0.000632;0.006390;0.005087;0.010400;0.006382;0.002004;0.006583;0.004273;0.004861;0.000485;0.000823;0.000076;0.000140;0.000016;0.000016;0.000032
mk;0.003192;0.026038;0.287387;0.049078;0.012572;0.012098;0.010697;0.039760;0.093404;0.045081;0.047953;0.205373;0.008559;0.019529;0.003192;0.013388;0.012925;0.019054;0.037829;0.000632;0.006140;0.005087;0.008335;0.007179;0.002004;0.007380;0.005069;0.009481;0.000485;0.000824;0.000077;0.000141;0.000016;0.000016;0.000032
mg;0.003191;0.097535;0.115702;0.030662;0.039405;0.012098;0.010697;0.042183;0.103596;0.060767;0.035457;0.227003;0.009286;0.049271;0.003434;0.015811;0.012924;0.016769;0.054830;0.000632;0.010260;0.005087;0.011452;0.006382;0.002004;0.009734;0.004273;0.007959;0.000485;0.000823;0.000076;0.000140;0.000016;0.000016;0.000032
mv;0.003191;0.026037;0.413182;0.026784;0.011776;0.012098;0.010697;0.039760;0.103420;0.066745;0.029640;0.080372;0.008559;0.018733;0.003191;0.013387;0.012924;0.015072;0.062354;0.000632;0.006887;0.005087;0.005524;0.006382;0.002004;0.006583;0.004273;0.003111;0.000485;0.000823;0.000076;0.000140;0.000016;0.000016;0.000032
m.;0.002128;0.017358;0.035504;0.017856;0.007851;0.009775;0.007131;0.026507;0.021399;0.022092;0.019760;0.057000;0.005706;0.012489;0.661273;0.008925;0.008616;0.010048;0.019911;0.000421;0.004093;0.003391;0.003434;0.004255;0.001336;0.004389;0.002849;0.003442;0.000323;0.000549;0.000051;0.000094;0.000011;0.000011;0.000021
mq;0.003191;0.026037;0.051718;0.026784;0.511776;0.012098;0.010697;0.039760;0.032098;0.033138;0.029640;0.080372;0.008559;0.018733;0.003191;0.013387;0.012924;0.015072;0.029867;0.000632;0.006140;0.005087;0.005150;0.006382;0.002004;0.006583;0.004273;0.003111;0.000485;0.000823;0.000076;0.000140;0.000016;0.000016;0.000032
mx;0.003191;0.026037;0.076912;0.026784;0.011776;0.012098;0.128914;0.183171;0.092175;0.035076;0.029640;0.093938;0.008559;0.018733;0.003191;0.013387;0.061374;0.015072;0.101572;0.000632;0.006140;0.005087;0.012902;0.006382;0.002004;0.006583;0.006211;0.008925;0.000485;0.002761;0.000076;0.000140;0.000016;0.000016;0.000032
m?;0.003191;0.026037;0.051718;0.026784;0.011776;0.012098;0.010697;0.039760;0.032098;0.033138;0.029640;0.080372;0.008559;0.018733;0.503191;0.013387;0.012924;0.015072;0.029867;0.000632;0.006140;0.005087;0.005150;0.006382;0.002004;0.006583;0.004273;0.003111;0.000485;0.000823;0.000076;0.000140;0.000016;0.000016;0.000032
mz;0.003191;0.026037;0.347172;0.026784;0.011776;0.012098;0.010697;0.039760;0.077552;0.124047;0.029640;0.114463;0.008559;0.018733;0.003191;0.013387;0.012924;0.015072;0.029867;0.000632;0.006140;0.005087;0.027878;0.006382;0.002004;0.006583;0.004273;0.003111;0.000485;0.000823;0.000076;0.000140;0.000016;0.000016;0.011395
mó;0.003191;0.026037;0.051718;0.026784;0.011776;0.012098;0.010697;0.039760;0.032098;0.033138;0.529640;0.080372;0.008559;0.018733;0.003191;0.013387;0.012924;0.015072;0.029867;0.000632;0.006140;0.005087;0.005150;0.006382;0.002004;0.006583;0.004273;0.003111;0.000485;0.000823;0.000076;0.000140;0.000016;0.000016;0.000032
mä;0.003191;0.026037;0.051718;0.026784;0.011776;0.012098;0.010697;0.039760;0.032098;0.033138;0.529640;0.080372;0.008559;0.018733;0.003191;0.013387;0.012924;0.015072;0.029867;0.000632;0.006140;0.005087;0.005150;0.006382;0.002004;0.006583;0.004273;0.003111;0.000485;0.000823;0.000076;0.000140;0.000016;0.000016;0.000032
m#;0.002128;0.017358;0.067812;0.017856;0.007851;0.008065;0.007131;0.026507;0.021399;0.022092;0.453094;0.086915;0.005706;0.012489;0.135461;0.008925;0.008616;0.043382;0.019911;0.000421;0.004093;0.003391;0.003434;0.004255;0.001336;0.004389;0.002849;0.002074;0.000323;0.000549;0.000051;0.000094;0.000011;0.000011;0.000021
p(;0.003191;0.030038;0.056218;0.040785;0.014276;0.063598;0.019197;0.166260;0.146598;0.044638;0.036640;0.080372;0.028559;0.031233;0.003191;0.016387;0.020424;0.022072;0.064867;0.001632;0.012640;0.014587;0.005150;0.055883;0.002504;0.008083;0.005773;0.003112;0.000985;0.000824;0.000077;0.000140;0.000016;0.000016;0.000032
pr;0.002128;0.020422;0.237121;0.031584;0.015531;0.013172;0.008112;0.050897;0.088833;0.230717;0.024173;0.104487;0.005951;0.012611;0.002128;0.016442;0.010904;0.016095;0.056592;0.000421;0.011202;0.003841;0.009153;0.005113;0.004482;0.007821;0.004728;0.004076;0.000323;0.000549;0.000051;0.000094;0.000215;0.000011;0.000021
pe;0.002128;0.132992;0.047934;0.050317;0.012149;0.017609;0.011821;0.065909;0.023702;0.040026;0.076774;0.188073;0.010103;0.013044;0.002148;0.037066;0.061202;0.019777;0.119620;0.000545;0.005883;0.004625;0.011044;0.006188;0.001686;0.011321;0.009348;0.009569;0.002092;0.004992;0.000092;0.000176;0.000011;0.000011;0.000021
ps;0.002128;0.017636;0.084428;0.039859;0.019845;0.009614;0.017100;0.062966;0.056031;0.052064;0.019760;0.393601;0.006262;0.022338;0.002326;0.009441;0.011635;0.012034;0.029959;0.000421;0.004610;0.003550;0.015547;0.004612;0.002925;0.004429;0.002849;0.090614;0.000323;0.000549;0.000329;0.000094;0.000011;0.000011;0.000101
pu;0.002128;0.156459;0.053696;0.061307;0.007941;0.017099;0.020591;0.147174;0.034226;0.022453;0.061314;0.064241;0.006880;0.012489;0.002128;0.012900;0.029032;0.122319;0.031384;0.000421;0.004093;0.102921;0.004698;0.004255;0.001517;0.009809;0.002849;0.002436;0.000323;0.000639;0.000141;0.000094;0.000011;0.000011;0.000021
pm;0.002128;0.033185;0.459256;0.024011;0.019985;0.043412;0.037730;0.026507;0.062109;0.046888;0.019936;0.076179;0.005882;0.012489;0.002128;0.008925;0.008792;0.010224;0.051301;0.000421;0.011040;0.014206;0.005544;0.004255;0.001336;0.004389;0.002849;0.003657;0.000323;0.000549;0.000051;0.000094;0.000011;0.000011;0.000197
pp;0.002128;0.172745;0.132309;0.019945;0.013519;0.014728;0.025429;0.034760;0.028680;0.262446;0.019760;0.063824;0.005706;0.015174;0.002327;0.008925;0.008616;0.081327;0.052131;0.000421;0.007916;0.003391;0.004329;0.004255;0.001435;0.004488;0.002849;0.003467;0.000323;0.000549;0.000051;0.000094;0.000011;0.001922;0.000021
pt;0.002128;0.029906;0.189985;0.033808;0.019197;0.008413;0.007185;0.030868;0.143406;0.052539;0.020108;0.188396;0.005733;0.130889;0.002128;0.008952;0.009044;0.012670;0.058776;0.000421;0.010140;0.003391;0.010738;0.006155;0.001336;0.004416;0.002849;0.004991;0.000323;0.000549;0.000265;0.000201;0.000011;0.000011;0.000075
pi;0.002128;0.049190;0.063365;0.068993;0.008282;0.017544;0.009252;0.190765;0.021465;0.066103;0.198717;0.065280;0.010843;0.012522;0.002128;0.044634;0.038373;0.050261;0.030086;0.000454;0.004093;0.006341;0.003533;0.004255;0.005015;0.008167;0.013553;0.002174;0.000323;0.001079;0.000051;0.000955;0.000011;0.000011;0.000054
po;0.002128;0.213448;0.037305;0.086899;0.039438;0.030247;0.025785;0.041276;0.054170;0.033365;0.107733;0.095121;0.038834;0.014383;0.002128;0.015217;0.014170;0.067910;0.021292;0.000967;0.006501;0.007468;0.005296;0.015429;0.002492;0.008016;0.009399;0.002331;0.000323;0.000742;0.000051;0.000094;0.000011;0.000011;0.000021
pn;0.003191;0.026037;0.086171;0.058653;0.015921;0.012959;0.010751;0.114372;0.049593;0.055532;0.034055;0.209194;0.012112;0.019110;0.003353;0.081324;0.035749;0.019379;0.048762;0.001009;0.008993;0.005141;0.011933;0.006436;0.005826;0.047765;0.006964;0.007902;0.000539;0.000877;0.000130;0.000194;0.000016;0.000016;0.000032
p ;0.002128;0.037079;0.058237;0.056253;0.012099;0.023875;0.038063;0.157925;0.078068;0.082203;0.029297;0.062741;0.030391;0.034129;0.002141;0.021214;0.029138;0.015898;0.105845;0.004756;0.009964;0.034932;0.003672;0.042056;0.002236;0.009604;0.008401;0.005642;0.001144;0.000562;0.000064;0.000200;0.000011;0.000011;0.000021
pf;0.003191;0.045239;0.088444;0.026971;0.044214;0.012657;0.010697;0.048522;0.082433;0.126911;0.029640;0.282274;0.032608;0.018919;0.003191;0.013387;0.012924;0.021038;0.051492;0.000632;0.008004;0.005087;0.006269;0.006942;0.002004;0.006583;0.004273;0.003857;0.000485;0.000823;0.000076;0.000140;0.000016;0.000016;0.000032
ph;0.002128;0.019857;0.319208;0.018424;0.009157;0.008406;0.007131;0.030425;0.116778;0.041456;0.020442;0.121964;0.005706;0.012545;0.002128;0.009152;0.008673;0.010900;0.203505;0.000478;0.005967;0.003391;0.005251;0.004369;0.001336;0.004389;0.002849;0.002756;0.000323;0.000549;0.000051;0.000094;0.000011;0.000181;0.000021
p);0.006383;0.052075;0.103436;0.053569;0.023552;0.024196;0.021394;0.079520;0.064196;0.066276;0.059281;0.160745;0.017118;0.037466;0.006383;0.026775;0.025849;0.030145;0.059734;0.001264;0.012280;0.010174;0.010301;0.012765;0.004008;0.013167;0.008546;0.006223;0.000970;0.001647;0.000153;0.000281;0.000032;0.000032;0.000064
pd;0.003192;0.033427;0.142302;0.048716;0.025721;0.019607;0.011532;0.042740;0.076198;0.052447;0.030237;0.303853;0.008917;0.018972;0.003549;0.016606;0.012925;0.018768;0.056447;0.000871;0.009597;0.005206;0.020169;0.006621;0.002123;0.008133;0.007134;0.011813;0.000485;0.000824;0.000434;0.000141;0.000016;0.000016;0.000271
pc;0.003191;0.038877;0.121347;0.027648;0.031282;0.012098;0.010697;0.100254;0.072838;0.166471;0.029640;0.096669;0.008559;0.073177;0.003191;0.013387;0.026134;0.030998;0.073200;0.000632;0.018732;0.005087;0.005644;0.006382;0.006942;0.006583;0.004273;0.004222;0.000732;0.000823;0.000076;0.000140;0.000016;0.000016;0.000032
pl;0.002128;0.018840;0.228809;0.028090;0.013991;0.008136;0.007908;0.032012;0.095480;0.121536;0.019901;0.117242;0.008741;0.012489;0.002128;0.027698;0.008828;0.046395;0.114319;0.000421;0.053510;0.003462;0.006610;0.005384;0.001477;0.004530;0.005319;0.003486;0.000323;0.000549;0.000051;0.000094;0.000011;0.000081;0.000021
pa;0.002128;0.305036;0.034586;0.063305;0.011555;0.021813;0.022303;0.091501;0.033638;0.022128;0.094890;0.070214;0.009303;0.012560;0.002163;0.020995;0.029273;0.057924;0.019911;0.001027;0.018490;0.011717;0.003790;0.005715;0.007569;0.011152;0.010969;0.002680;0.000323;0.001119;0.000051;0.000129;0.000011;0.000011;0.000021
pj;0.003191;0.026037;0.271415;0.026784;0.153190;0.012098;0.010697;0.039760;0.034623;0.144249;0.029640;0.080372;0.008559;0.018733;0.003191;0.013387;0.012924;0.015072;0.052594;0.000632;0.006140;0.005087;0.005150;0.006382;0.002004;0.006583;0.006798;0.003111;0.000485;0.000823;0.000076;0.000140;0.000016;0.000016;0.000032
py;0.002128;0.017358;0.047992;0.029291;0.007851;0.018980;0.008864;0.028066;0.024344;0.050332;0.020973;0.601571;0.005879;0.012489;0.002474;0.009272;0.008790;0.010048;0.019911;0.000421;0.004093;0.003391;0.031154;0.004428;0.001336;0.004389;0.002849;0.020092;0.000323;0.000549;0.000224;0.000094;0.000011;0.000011;0.000021
pb;0.003191;0.041721;0.260940;0.044664;0.056945;0.014607;0.010697;0.042269;0.046841;0.056977;0.029640;0.082882;0.008559;0.018733;0.003191;0.013387;0.013238;0.079376;0.069390;0.020080;0.047231;0.005087;0.005150;0.006382;0.002004;0.006583;0.004900;0.003739;0.000485;0.000823;0.000076;0.000140;0.000016;0.000016;0.000032
p,;0.002128;0.017358;0.034479;0.017856;0.007851;0.008065;0.007131;0.026507;0.021399;0.022092;0.019760;0.720248;0.005706;0.012489;0.002128;0.008925;0.008616;0.010048;0.019911;0.000421;0.004093;0.003391;0.003434;0.004255;0.001336;0.004389;0.002849;0.002074;0.000323;0.000549;0.000051;0.000094;0.000011;0.000011;0.000021
pw;0.003191;0.028287;0.172218;0.030034;0.013026;0.012098;0.010947;0.042760;0.117098;0.097638;0.040640;0.122122;0.008559;0.126483;0.003191;0.013387;0.012924;0.016572;0.080617;0.000632;0.006390;0.005087;0.010400;0.006382;0.002004;0.006583;0.004273;0.004861;0.000485;0.000823;0.000076;0.000140;0.000016;0.000016;0.000032
pk;0.002128;0.017358;0.191591;0.032718;0.008381;0.008065;0.007131;0.026507;0.062269;0.030054;0.031968;0.136915;0.005706;0.013019;0.002128;0.008925;0.008616;0.012702;0.358553;0.000421;0.004093;0.003391;0.005557;0.004786;0.001336;0.004920;0.003379;0.006321;0.000323;0.000549;0.000051;0.000094;0.000011;0.000011;0.000021
pg;0.002128;0.398357;0.077135;0.020442;0.026270;0.008065;0.007131;0.028122;0.069064;0.040512;0.023638;0.151336;0.006191;0.032847;0.002289;0.010541;0.008616;0.011179;0.036554;0.000421;0.006840;0.003391;0.007635;0.004255;0.001336;0.006490;0.002849;0.005306;0.000323;0.000549;0.000051;0.000094;0.000011;0.000011;0.000021
pv;0.003191;0.026037;0.413182;0.026784;0.011776;0.012098;0.010697;0.039760;0.103420;0.066745;0.029640;0.080372;0.008559;0.018733;0.003191;0.013387;0.012924;0.015072;0.062354;0.000632;0.006887;0.005087;0.005524;0.006382;0.002004;0.006583;0.004273;0.003111;0.000485;0.000823;0.000076;0.000140;0.000016;0.000016;0.000032
p.;0.002128;0.017358;0.035504;0.017856;0.007851;0.128822;0.007131;0.026507;0.021399;0.022092;0.019760;0.057000;0.005706;0.012489;0.542225;0.008925;0.008616;0.010048;0.019911;0.000421;0.004093;0.003391;0.003434;0.004255;0.001336;0.004389;0.002849;0.003442;0.000323;0.000549;0.000051;0.000094;0.000011;0.000011;0.000021
pq;0.003191;0.026037;0.051718;0.026784;0.511776;0.012098;0.010697;0.039760;0.032098;0.033138;0.029640;0.080372;0.008559;0.018733;0.003191;0.013387;0.012924;0.015072;0.029867;0.000632;0.006140;0.005087;0.005150;0.006382;0.002004;0.006583;0.004273;0.003111;0.000485;0.000823;0.000076;0.000140;0.000016;0.000016;0.000032
px;0.003191;0.026037;0.076912;0.026784;0.011776;0.012098;0.128914;0.183171;0.092175;0.035076;0.029640;0.093938;0.008559;0.018733;0.003191;0.013387;0.061374;0.015072;0.101572;0.000632;0.006140;0.005087;0.012902;0.006382;0.002004;0.006583;0.006211;0.008925;0.000485;0.002761;0.000076;0.000140;0.000016;0.000016;0.000032
p?;0.003191;0.026037;0.051718;0.026784;0.011776;0.012098;0.010697;0.039760;0.032098;0.033138;0.029640;0.080372;0.008559;0.018733;0.503191;0.013387;0.012924;0.015072;0.029867;0.000632;0.006140;0.005087;0.005150;0.006382;0.002004;0.006583;0.004273;0.003111;0.000485;0.000823;0.000076;0.000140;0.000016;0.000016;0.000032
pz;0.003191;0.026037;0.347172;0.026784;0.011776;0.012098;0.010697;0.039760;0.077552;0.124047;0.029640;0.114463;0.008559;0.018733;0.003191;0.013387;0.012924;0.015072;0.029867;0.000632;0.006140;0.005087;0.027878;0.006382;0.002004;0.006583;0.004273;0.003111;0.000485;0.000823;0.000076;0.000140;0.000016;0.000016;0.011395
