unsmoothed;3
(;r;e;a;n;u;d;c;i;ó; ;l;p;í;o;s;);m;t;,;v;b;y;ñ;q;h;.;g;f;á;x;z;k;¿;é;?;j;ú;w;#
le;0.001999;0.048258;0.039086;0.042302;0.088711;0.012848;0.019007;0.041321;0.017541;0.002392;0.177771;0.038627;0.009904;0.001402;0.055026;0.200880;0.002034;0.039835;0.020623;0.012246;0.015640;0.012387;0.002260;0.005158;0.003503;0.001884;0.007206;0.049854;0.004498;0.000895;0.012512;0.002533;0.000068;0.000044;0.000668;0.000097;0.008725;0.000220;0.000020;0.000016
la;0.001999;0.071796;0.038284;0.029556;0.055747;0.013213;0.043099;0.038430;0.017310;0.002415;0.332839;0.037042;0.013112;0.002539;0.023812;0.138104;0.002066;0.044679;0.026777;0.009633;0.004749;0.015413;0.005602;0.002112;0.003170;0.002525;0.006524;0.004441;0.002663;0.000877;0.000504;0.004771;0.000136;0.000044;0.000713;0.000112;0.002601;0.000558;0.000020;0.000016
ln;0.002998;0.028239;0.093521;0.083777;0.029230;0.022769;0.048872;0.048861;0.047364;0.006099;0.228188;0.020913;0.012483;0.002469;0.068696;0.052496;0.003102;0.014606;0.113533;0.012060;0.005132;0.004684;0.003390;0.000902;0.005060;0.002877;0.007217;0.007889;0.012864;0.002153;0.000755;0.002432;0.000259;0.000066;0.001054;0.000223;0.001801;0.000905;0.000030;0.000024
lu;0.001999;0.055024;0.166350;0.058536;0.086252;0.010119;0.031781;0.068966;0.054922;0.002459;0.060525;0.025135;0.014750;0.003156;0.023987;0.120917;0.001999;0.013728;0.028915;0.003667;0.007094;0.006401;0.037506;0.000602;0.002606;0.001849;0.002057;0.084166;0.003115;0.001209;0.002807;0.012661;0.000068;0.000044;0.002457;0.000044;0.001874;0.000220;0.000020;0.000016
ld;0.001999;0.037777;0.223330;0.376766;0.019103;0.015430;0.013554;0.011998;0.045411;0.002540;0.064014;0.013852;0.008322;0.003390;0.086028;0.022038;0.001999;0.008719;0.013352;0.004734;0.002154;0.003137;0.002260;0.000602;0.002853;0.001947;0.003241;0.002818;0.002055;0.000927;0.000504;0.000680;0.000117;0.000044;0.001210;0.000044;0.000797;0.000220;0.000020;0.000016
lc;0.001999;0.026898;0.064387;0.407755;0.019880;0.035873;0.013505;0.014941;0.109474;0.003281;0.052952;0.020299;0.008322;0.004088;0.110623;0.021989;0.001999;0.008029;0.035576;0.003402;0.001957;0.003088;0.002260;0.000602;0.002606;0.012232;0.002223;0.002818;0.002055;0.001322;0.000504;0.000680;0.000290;0.000044;0.001001;0.000044;0.000747;0.000220;0.000020;0.000016
li;0.001999;0.031616;0.067399;0.073336;0.051057;0.011212;0.116711;0.117144;0.017320;0.040065;0.058771;0.019704;0.011143;0.001367;0.063907;0.073403;0.001999;0.031976;0.031255;0.003672;0.013162;0.023909;0.002260;0.000602;0.003794;0.001849;0.002134;0.050114;0.011546;0.000916;0.000504;0.056611;0.000261;0.000044;0.005807;0.000044;0.001134;0.000220;0.000020;0.000016
ló;0.001999;0.021576;0.037900;0.029556;0.292843;0.010053;0.018796;0.012276;0.017242;0.002392;0.111490;0.025499;0.009715;0.001367;0.023722;0.023938;0.001999;0.024459;0.013366;0.003402;0.003349;0.003088;0.002260;0.000602;0.002606;0.001849;0.002057;0.290203;0.002055;0.000877;0.004681;0.000680;0.000068;0.000044;0.000668;0.000044;0.001026;0.000220;0.000020;0.000016
l ;0.001999;0.039533;0.104738;0.071636;0.031374;0.020299;0.095220;0.059325;0.039223;0.002738;0.056768;0.050317;0.096881;0.001380;0.041073;0.071548;0.002011;0.038345;0.045294;0.004643;0.007863;0.006040;0.021967;0.000602;0.025450;0.013761;0.003503;0.013106;0.020340;0.003246;0.000747;0.001076;0.000272;0.000121;0.002831;0.000057;0.003589;0.000948;0.000109;0.000029
ll;0.001999;0.018840;0.142825;0.238115;0.019103;0.017245;0.014470;0.012481;0.038365;0.002730;0.126072;0.022008;0.008467;0.015436;0.218595;0.022182;0.002047;0.011021;0.019325;0.006249;0.003067;0.003136;0.002357;0.000602;0.002896;0.001849;0.004325;0.005859;0.002248;0.012980;0.000504;0.000680;0.000068;0.000044;0.000764;0.000044;0.000747;0.000220;0.000020;0.000016
lp;0.001999;0.094520;0.316479;0.197023;0.019103;0.030626;0.013505;0.012718;0.027889;0.002873;0.052255;0.035657;0.008803;0.002007;0.106975;0.022149;0.001999;0.008029;0.016812;0.003402;0.001957;0.003088;0.002340;0.000602;0.002606;0.001849;0.002057;0.002818;0.002055;0.001198;0.000504;0.000680;0.000148;0.000044;0.000908;0.000044;0.000747;0.001421;0.000020;0.000096
lí;0.001999;0.021715;0.041459;0.173465;0.054542;0.010053;0.020475;0.038416;0.017242;0.002392;0.088679;0.013803;0.008322;0.001367;0.040291;0.050254;0.001999;0.017730;0.345677;0.013148;0.002931;0.003575;0.002260;0.000602;0.002606;0.001849;0.006590;0.002818;0.009365;0.000877;0.000504;0.000680;0.000068;0.000044;0.000668;0.000044;0.001235;0.000220;0.000020;0.000016
lo;0.001999;0.064582;0.038518;0.029640;0.062479;0.010137;0.022492;0.025434;0.017383;0.002392;0.243363;0.023071;0.017085;0.001395;0.024494;0.283297;0.002055;0.026452;0.017373;0.022775;0.003263;0.015360;0.005153;0.000602;0.003070;0.003169;0.011632;0.013613;0.002897;0.000877;0.000756;0.000764;0.000068;0.000044;0.000668;0.000620;0.000775;0.000220;0.000020;0.000016
ls;0.001999;0.021397;0.076530;0.127099;0.019133;0.020506;0.014262;0.015119;0.049509;0.003695;0.187271;0.014802;0.018018;0.002912;0.290749;0.021989;0.002302;0.009362;0.053650;0.015854;0.002048;0.003149;0.002260;0.000602;0.002697;0.001879;0.010752;0.003272;0.002964;0.000908;0.000504;0.000680;0.000068;0.000044;0.000789;0.000165;0.000747;0.000220;0.000081;0.000016
l);0.005996;0.056374;0.113701;0.088668;0.057309;0.030159;0.040514;0.035994;0.051727;0.007177;0.156524;0.041408;0.024967;0.004101;0.071166;0.065967;0.005996;0.024086;0.038428;0.010205;0.005870;0.009264;0.006781;0.001805;0.007819;0.005546;0.006170;0.008454;0.006164;0.002632;0.001511;0.002039;0.000204;0.000132;0.002003;0.000132;0.002242;0.000660;0.000060;0.000048
lm;0.001999;0.018791;0.447676;0.073619;0.019186;0.024741;0.013505;0.012164;0.081369;0.002558;0.052839;0.013803;0.043506;0.004520;0.078157;0.022238;0.001999;0.008029;0.012809;0.003568;0.001957;0.027733;0.002260;0.000602;0.002606;0.001849;0.002223;0.002818;0.002055;0.014320;0.000504;0.000680;0.000068;0.000044;0.001166;0.000044;0.000747;0.001216;0.000020;0.000016
lt;0.001999;0.107704;0.132034;0.232093;0.019103;0.056871;0.013505;0.012102;0.139943;0.005589;0.052591;0.013855;0.008322;0.002303;0.123976;0.022041;0.001999;0.008029;0.013017;0.003402;0.001957;0.003088;0.002260;0.000602;0.002606;0.002161;0.002109;0.002818;0.002055;0.004362;0.000504;0.000888;0.000068;0.000044;0.002488;0.000044;0.000747;0.000688;0.000020;0.000016
l,;0.001999;0.018791;0.037900;0.029556;0.019103;0.010053;0.013505;0.011998;0.017242;0.002392;0.718449;0.013803;0.008322;0.001367;0.023722;0.021989;0.001999;0.008029;0.012809;0.003598;0.001957;0.003088;0.002260;0.000602;0.002606;0.001849;0.002253;0.002818;0.002055;0.000877;0.000504;0.000680;0.000068;0.000044;0.000668;0.000044;0.000747;0.000220;0.000020;0.000016
lv;0.001999;0.018791;0.254137;0.147748;0.019103;0.011415;0.013505;0.011998;0.257549;0.002733;0.052175;0.013803;0.008322;0.010901;0.101693;0.021989;0.001999;0.008029;0.012809;0.003742;0.001957;0.003088;0.002260;0.000602;0.002606;0.001849;0.002057;0.002818;0.002055;0.000877;0.000504;0.000680;0.000068;0.000044;0.003051;0.000044;0.000747;0.000220;0.000020;0.000016
lb;0.001999;0.096030;0.067890;0.086945;0.019103;0.026018;0.013505;0.012214;0.076358;0.002824;0.053253;0.062562;0.008322;0.004603;0.368922;0.031913;0.001999;0.008244;0.013241;0.003617;0.003467;0.003088;0.002260;0.000602;0.002606;0.001849;0.002272;0.002818;0.002055;0.001740;0.000504;0.000680;0.000068;0.000044;0.001099;0.000044;0.014987;0.000220;0.000020;0.000016
ly;0.001999;0.018791;0.052931;0.058734;0.353320;0.018895;0.013505;0.011998;0.017242;0.003277;0.293554;0.013803;0.008322;0.001367;0.047300;0.021989;0.001999;0.008323;0.012809;0.014896;0.001957;0.003088;0.002260;0.000602;0.002606;0.001849;0.003236;0.002818;0.002055;0.000877;0.000504;0.000680;0.000068;0.000044;0.001257;0.000044;0.000747;0.000220;0.000020;0.000016
lñ;0.002998;0.028187;0.058511;0.139018;0.028654;0.015079;0.020257;0.017997;0.025863;0.003588;0.078262;0.020704;0.012483;0.002050;0.439237;0.032983;0.002998;0.012043;0.019214;0.005102;0.002935;0.004632;0.003390;0.000902;0.003909;0.002773;0.003085;0.004227;0.003082;0.001316;0.000755;0.001019;0.000102;0.000066;0.001001;0.000066;0.001121;0.000330;0.000030;0.000024
lq;0.001999;0.018791;0.037900;0.029556;0.019103;0.676719;0.013505;0.011998;0.017242;0.002392;0.052175;0.013803;0.008322;0.001367;0.023722;0.021989;0.001999;0.008029;0.012809;0.003402;0.001957;0.003088;0.002260;0.000602;0.002606;0.001849;0.002057;0.002818;0.002055;0.000877;0.000504;0.000680;0.000068;0.000044;0.000668;0.000044;0.000747;0.000220;0.000020;0.000016
lh;0.002998;0.034133;0.139012;0.325415;0.028654;0.026971;0.020257;0.017997;0.033431;0.003588;0.081505;0.021244;0.012483;0.003672;0.128556;0.032983;0.002998;0.012043;0.019754;0.011048;0.002935;0.004632;0.004471;0.000902;0.003909;0.003313;0.004706;0.004227;0.003082;0.001856;0.000755;0.001019;0.000102;0.000066;0.001001;0.000066;0.001661;0.000330;0.000030;0.002186
l.;0.001999;0.018791;0.037900;0.029556;0.019103;0.010053;0.013505;0.011998;0.017242;0.002392;0.075174;0.013803;0.008322;0.001367;0.023722;0.021989;0.645017;0.008029;0.012809;0.003402;0.001957;0.003088;0.002260;0.000602;0.002606;0.001849;0.002705;0.002818;0.002055;0.000877;0.000504;0.000680;0.000068;0.000044;0.000668;0.000044;0.000747;0.000220;0.000020;0.000016
lg;0.001999;0.095623;0.056576;0.089221;0.024777;0.340707;0.013505;0.011998;0.092836;0.002865;0.052647;0.019240;0.008322;0.004440;0.104764;0.021989;0.001999;0.008029;0.013046;0.003874;0.001957;0.003088;0.002260;0.000602;0.002606;0.001849;0.002293;0.002818;0.002055;0.001114;0.000504;0.000680;0.000068;0.000044;0.000904;0.000044;0.000747;0.007402;0.000020;0.000489
lf;0.001999;0.039544;0.091727;0.129750;0.019103;0.042478;0.013505;0.011998;0.103170;0.003365;0.052175;0.024179;0.008322;0.004610;0.123917;0.021989;0.001999;0.259001;0.012809;0.003402;0.001957;0.003088;0.002260;0.000602;0.002606;0.002173;0.002057;0.002818;0.002379;0.000877;0.000504;0.000680;0.000068;0.000044;0.007801;0.000044;0.000747;0.000220;0.000020;0.000016
lá;0.001999;0.024106;0.037900;0.029556;0.061624;0.058431;0.013505;0.034018;0.017242;0.002392;0.367718;0.030507;0.015156;0.001367;0.023722;0.141958;0.001999;0.023215;0.021921;0.054058;0.001957;0.004607;0.002260;0.000602;0.002606;0.001849;0.002816;0.004337;0.005092;0.000877;0.008097;0.000680;0.000068;0.000044;0.000668;0.000044;0.000747;0.000220;0.000020;0.000016
lx;0.002998;0.028187;0.060819;0.097905;0.028654;0.015079;0.020257;0.061648;0.216339;0.003588;0.078262;0.020704;0.109705;0.002050;0.041535;0.032983;0.002998;0.012043;0.108499;0.009071;0.004919;0.004632;0.003390;0.000902;0.003909;0.002773;0.005069;0.004227;0.003082;0.005284;0.004724;0.001019;0.000102;0.000066;0.001001;0.000066;0.001121;0.000330;0.000030;0.000024
lz;0.002998;0.028187;0.056850;0.298746;0.028654;0.016550;0.020257;0.038585;0.031746;0.030059;0.141497;0.020704;0.012483;0.002050;0.141465;0.032983;0.002998;0.012043;0.019214;0.016867;0.002935;0.004632;0.003390;0.000902;0.003909;0.002773;0.003085;0.007168;0.003082;0.008669;0.000755;0.001019;0.000102;0.000066;0.001001;0.000066;0.001121;0.000330;0.000030;0.000024
lk;0.002998;0.028187;0.056850;0.147275;0.028654;0.029785;0.020257;0.017997;0.114099;0.003588;0.092968;0.020704;0.012483;0.002050;0.256170;0.047689;0.002998;0.012043;0.019214;0.019808;0.017641;0.004632;0.003390;0.000902;0.003909;0.017479;0.003085;0.004227;0.003082;0.001316;0.000755;0.001019;0.000102;0.000066;0.001001;0.000066;0.001121;0.000330;0.000030;0.000024
l¿;0.002998;0.028187;0.102305;0.067061;0.028654;0.015079;0.042984;0.131633;0.025863;0.003588;0.078262;0.043431;0.194301;0.002050;0.035583;0.101165;0.002998;0.012043;0.019214;0.005102;0.002935;0.004632;0.003390;0.000902;0.003909;0.025500;0.003085;0.004227;0.003082;0.001316;0.000755;0.001019;0.000102;0.000066;0.001001;0.000066;0.001121;0.000330;0.000030;0.000024
lé;0.001999;0.061706;0.037900;0.029556;0.484172;0.010053;0.016499;0.018984;0.017242;0.002392;0.104071;0.020789;0.012314;0.001367;0.023722;0.069893;0.001999;0.009027;0.016801;0.004400;0.001957;0.006082;0.002260;0.000602;0.002606;0.001849;0.002057;0.020782;0.003053;0.000877;0.009486;0.000680;0.000068;0.000044;0.000668;0.000044;0.001745;0.000220;0.000020;0.000016
l?;0.002998;0.028187;0.056850;0.044334;0.028654;0.015079;0.020257;0.017997;0.025863;0.003588;0.078262;0.020704;0.012483;0.002050;0.035583;0.032983;0.502997;0.012043;0.019214;0.005102;0.002935;0.004632;0.003390;0.000902;0.003909;0.002773;0.003085;0.004227;0.003082;0.001316;0.000755;0.001019;0.000102;0.000066;0.001001;0.000066;0.001121;0.000330;0.000030;0.000024
lj;0.002998;0.028187;0.238668;0.109842;0.028654;0.093956;0.020257;0.017997;0.029874;0.011610;0.078262;0.020704;0.012483;0.002050;0.194674;0.032983;0.002998;0.012043;0.019214;0.005102;0.004272;0.004632;0.003390;0.000902;0.003909;0.002773;0.003085;0.004227;0.003082;0.001316;0.000755;0.001019;0.000102;0.000066;0.002338;0.000066;0.001121;0.000330;0.000030;0.000024
lú;0.002998;0.028187;0.056850;0.062516;0.255927;0.015079;0.020257;0.017997;0.025863;0.003588;0.078262;0.152522;0.012483;0.002050;0.035583;0.032983;0.002998;0.043861;0.041941;0.005102;0.002935;0.072814;0.003390;0.000902;0.003909;0.002773;0.003085;0.004227;0.003082;0.001316;0.000755;0.001019;0.000102;0.000066;0.001001;0.000066;0.001121;0.000330;0.000030;0.000024
lw;0.002998;0.028187;0.106850;0.044334;0.028654;0.215079;0.020257;0.017997;0.025863;0.003588;0.078262;0.020704;0.012483;0.002050;0.235583;0.032983;0.002998;0.012043;0.019214;0.005102;0.002935;0.004632;0.053390;0.000902;0.003909;0.002773;0.003085;0.004227;0.003082;0.001316;0.000755;0.001019;0.000102;0.000066;0.001001;0.000066;0.001121;0.000330;0.000030;0.000024
l#;0.002998;0.028187;0.181850;0.106834;0.278654;0.015079;0.020257;0.017997;0.025863;0.003588;0.140762;0.020704;0.012483;0.002050;0.035583;0.032983;0.002998;0.012043;0.019214;0.005102;0.002935;0.004632;0.003390;0.000902;0.003909;0.002773;0.003085;0.004227;0.003082;0.001316;0.000755;0.001019;0.000102;0.000066;0.001001;0.000066;0.001121;0.000330;0.000030;0.000024
p(;0.002998;0.033187;0.176850;0.073834;0.052654;0.018079;0.038757;0.042497;0.029363;0.003588;0.078262;0.064704;0.070483;0.002050;0.039083;0.113483;0.002998;0.027043;0.037214;0.005102;0.004435;0.006132;0.016890;0.000902;0.011409;0.011773;0.008085;0.006227;0.006082;0.001316;0.000755;0.001019;0.000102;0.008066;0.002501;0.000066;0.001121;0.000330;0.000530;0.000024
pr;0.001999;0.026201;0.237291;0.091735;0.021017;0.021800;0.019284;0.016217;0.091853;0.010011;0.096279;0.019050;0.008819;0.008103;0.204950;0.025180;0.002034;0.018807;0.025253;0.006380;0.003942;0.003407;0.002296;0.000602;0.004024;0.001849;0.004857;0.006399;0.002232;0.012817;0.000504;0.001495;0.000103;0.000044;0.001838;0.000044;0.001031;0.000220;0.000020;0.000016
pe;0.001999;0.166810;0.038199;0.065130;0.089205;0.012848;0.029897;0.074989;0.017541;0.002392;0.139711;0.063278;0.009904;0.001402;0.050332;0.087889;0.002034;0.018558;0.053505;0.007814;0.004558;0.006182;0.002260;0.009450;0.011078;0.001884;0.003217;0.011764;0.004498;0.000895;0.004090;0.002593;0.000068;0.000044;0.000668;0.000097;0.002962;0.000220;0.000020;0.000016
pa;0.001999;0.287495;0.038284;0.029556;0.046446;0.012983;0.042425;0.042905;0.017310;0.002415;0.165176;0.047932;0.022300;0.026687;0.023812;0.077376;0.002066;0.025137;0.022345;0.011156;0.003625;0.010211;0.005461;0.004479;0.003170;0.002525;0.008662;0.005388;0.002663;0.000877;0.000504;0.002573;0.000136;0.000044;0.000713;0.000112;0.002460;0.000558;0.000020;0.000016
pn;0.002998;0.028239;0.093521;0.083777;0.029230;0.022769;0.048872;0.048861;0.047364;0.006099;0.228188;0.020913;0.012483;0.002469;0.068696;0.052496;0.003102;0.014606;0.113533;0.012060;0.005132;0.004684;0.003390;0.000902;0.005060;0.002877;0.007217;0.007889;0.012864;0.002153;0.000755;0.002432;0.000259;0.000066;0.001054;0.000223;0.001801;0.000905;0.000030;0.000024
pu;0.001999;0.054084;0.365995;0.042876;0.156064;0.010119;0.025783;0.028698;0.032550;0.002459;0.060525;0.030323;0.014750;0.003156;0.023987;0.037203;0.001999;0.013728;0.034234;0.003667;0.002619;0.008995;0.008423;0.000602;0.002606;0.001849;0.002057;0.005866;0.003115;0.001209;0.000570;0.001475;0.000068;0.000044;0.012833;0.000044;0.003171;0.000220;0.000020;0.000016
pd;0.002998;0.031665;0.309995;0.115149;0.028654;0.023145;0.020331;0.017997;0.068116;0.003810;0.096021;0.020778;0.012483;0.005084;0.129041;0.033057;0.002998;0.013079;0.020028;0.007100;0.003231;0.004706;0.003390;0.000902;0.004279;0.002921;0.004861;0.004227;0.003082;0.001390;0.000755;0.001019;0.000176;0.000066;0.001815;0.000066;0.001195;0.000330;0.000030;0.000024
pc;0.001999;0.026898;0.064387;0.074422;0.019880;0.035873;0.013505;0.014941;0.442807;0.003281;0.052952;0.020299;0.008322;0.004088;0.110623;0.021989;0.001999;0.008029;0.035576;0.003402;0.001957;0.003088;0.002260;0.000602;0.002606;0.012232;0.002223;0.002818;0.002055;0.001322;0.000504;0.000680;0.000290;0.000044;0.001001;0.000044;0.000747;0.000220;0.000020;0.000016
pi;0.001999;0.035776;0.103314;0.079927;0.101182;0.011212;0.123037;0.053281;0.017320;0.040065;0.057932;0.023877;0.011143;0.001367;0.124847;0.052387;0.001999;0.021900;0.053786;0.003672;0.013162;0.022994;0.002260;0.000602;0.002954;0.001849;0.002134;0.009812;0.007348;0.000916;0.000504;0.005394;0.000261;0.000044;0.008313;0.000044;0.001134;0.000220;0.000020;0.000016
pó;0.001999;0.021576;0.037900;0.029556;0.348398;0.010053;0.018796;0.012276;0.017242;0.002392;0.063871;0.025499;0.009715;0.001367;0.023722;0.246160;0.001999;0.024459;0.068922;0.003402;0.003349;0.003088;0.002260;0.000602;0.002606;0.001849;0.002057;0.004489;0.002055;0.000877;0.004681;0.000680;0.000068;0.000044;0.000668;0.000044;0.001026;0.000220;0.000020;0.000016
p ;0.001999;0.029300;0.081660;0.052476;0.027020;0.018557;0.387839;0.036246;0.024418;0.002520;0.053720;0.047487;0.039402;0.001380;0.028881;0.044986;0.002011;0.020274;0.023740;0.003772;0.005468;0.005386;0.011952;0.000602;0.016959;0.009842;0.002414;0.005704;0.007494;0.001069;0.000529;0.001076;0.000272;0.000121;0.001089;0.000057;0.001411;0.000731;0.000109;0.000029
pl;0.001999;0.018840;0.184087;0.234351;0.019103;0.018466;0.014470;0.012481;0.138968;0.002730;0.126072;0.022008;0.008467;0.013698;0.090333;0.022182;0.002047;0.011021;0.019325;0.006249;0.003067;0.003136;0.002357;0.000602;0.002896;0.001849;0.004325;0.005859;0.002248;0.001215;0.000504;0.000680;0.000068;0.000044;0.003206;0.000044;0.000747;0.000220;0.000020;0.000016
pp;0.001999;0.094520;0.372034;0.085912;0.019103;0.030626;0.013505;0.012718;0.027889;0.002873;0.052255;0.035657;0.008803;0.002007;0.106975;0.022149;0.001999;0.008029;0.016812;0.003402;0.001957;0.003088;0.002340;0.000602;0.002606;0.001849;0.002057;0.002818;0.002055;0.001198;0.000504;0.000680;0.000148;0.000044;0.000908;0.000044;0.000747;0.001421;0.000020;0.055652
pí;0.001999;0.230048;0.038875;0.170881;0.031286;0.010053;0.017891;0.028080;0.017242;0.002392;0.080927;0.013803;0.008322;0.001367;0.040291;0.050254;0.001999;0.009978;0.196776;0.013148;0.002931;0.003575;0.002260;0.000602;0.002606;0.001849;0.004006;0.002818;0.009365;0.000877;0.000504;0.000680;0.000068;0.000044;0.000668;0.000044;0.001235;0.000220;0.000020;0.000016
po;0.001999;0.229753;0.039480;0.029640;0.098025;0.010137;0.036594;0.025619;0.017383;0.002392;0.161389;0.058327;0.017405;0.001395;0.024143;0.113547;0.002055;0.026452;0.018945;0.015896;0.002912;0.021909;0.013807;0.000602;0.002719;0.003489;0.010367;0.006244;0.002897;0.000877;0.000756;0.000764;0.000068;0.000044;0.000668;0.000269;0.000775;0.000220;0.000020;0.000016
ps;0.001999;0.021397;0.243196;0.043766;0.019133;0.020506;0.014262;0.015119;0.049509;0.003695;0.187271;0.014802;0.018018;0.002912;0.207416;0.021989;0.002302;0.009362;0.053650;0.015854;0.002048;0.003149;0.002260;0.000602;0.002697;0.001879;0.010752;0.003272;0.002964;0.000908;0.000504;0.000680;0.000068;0.000044;0.000789;0.000165;0.000747;0.000220;0.000081;0.000016
p);0.005996;0.056374;0.113701;0.088668;0.057309;0.030159;0.040514;0.035994;0.051727;0.007177;0.156524;0.041408;0.024967;0.004101;0.071166;0.065967;0.005996;0.024086;0.038428;0.010205;0.005870;0.009264;0.006781;0.001805;0.007819;0.005546;0.006170;0.008454;0.006164;0.002632;0.001511;0.002039;0.000204;0.000132;0.002003;0.000132;0.002242;0.000660;0.000060;0.000048
pm;0.002998;0.028187;0.179579;0.110428;0.028779;0.037111;0.020257;0.018246;0.113989;0.003837;0.079258;0.020704;0.065259;0.006780;0.117236;0.033357;0.002998;0.012043;0.019214;0.005351;0.002935;0.041600;0.003390;0.000902;0.003909;0.002773;0.003334;0.004227;0.003082;0.021480;0.000755;0.001019;0.000102;0.000066;0.001748;0.000066;0.001121;0.001823;0.000030;0.000024
pt;0.001999;0.063260;0.182157;0.259500;0.019103;0.024772;0.013505;0.012102;0.154264;0.003120;0.052591;0.013855;0.008322;0.002303;0.111137;0.022041;0.001999;0.008029;0.013017;0.003402;0.001957;0.003088;0.002260;0.000602;0.002606;0.002161;0.002109;0.002818;0.002055;0.004362;0.000504;0.000888;0.000068;0.000044;0.002488;0.000044;0.000747;0.000688;0.000020;0.000016
p,;0.002998;0.028187;0.056850;0.044334;0.028654;0.015079;0.020257;0.017997;0.025863;0.003588;0.577673;0.020704;0.012483;0.002050;0.035583;0.032983;0.002998;0.012043;0.019214;0.005396;0.002935;0.004632;0.003390;0.000902;0.003909;0.002773;0.003379;0.004227;0.003082;0.001316;0.000755;0.001019;0.000102;0.000066;0.001001;0.000066;0.001121;0.000330;0.000030;0.000024
pv;0.002998;0.028187;0.185553;0.178144;0.028654;0.017122;0.020257;0.017997;0.125455;0.004099;0.078262;0.020704;0.012483;0.016351;0.152539;0.032983;0.002998;0.012043;0.019214;0.005613;0.002935;0.004632;0.003390;0.000902;0.003909;0.002773;0.003085;0.004227;0.003082;0.001316;0.000755;0.001019;0.000102;0.000066;0.004576;0.000066;0.001121;0.000330;0.000030;0.000024
pb;0.002998;0.144045;0.101835;0.130418;0.028655;0.039028;0.020257;0.018321;0.114537;0.004236;0.079880;0.093843;0.012484;0.006905;0.053383;0.047870;0.002998;0.012367;0.019861;0.005426;0.005201;0.004632;0.003391;0.000903;0.003910;0.002773;0.003409;0.004227;0.003082;0.002611;0.000756;0.001020;0.000102;0.000066;0.001649;0.000066;0.022480;0.000330;0.000030;0.000024
py;0.001999;0.018791;0.052931;0.058734;0.019987;0.018895;0.013505;0.011998;0.017242;0.003277;0.293554;0.013803;0.008322;0.001367;0.047300;0.021989;0.001999;0.341656;0.012809;0.014896;0.001957;0.003088;0.002260;0.000602;0.002606;0.001849;0.003236;0.002818;0.002055;0.000877;0.000504;0.000680;0.000068;0.000044;0.001257;0.000044;0.000747;0.000220;0.000020;0.000016
pñ;0.002998;0.028187;0.058511;0.139018;0.028654;0.015079;0.020257;0.017997;0.025863;0.003588;0.078262;0.020704;0.012483;0.002050;0.439237;0.032983;0.002998;0.012043;0.019214;0.005102;0.002935;0.004632;0.003390;0.000902;0.003909;0.002773;0.003085;0.004227;0.003082;0.001316;0.000755;0.001019;0.000102;0.000066;0.001001;0.000066;0.001121;0.000330;0.000030;0.000024
pq;0.002998;0.028187;0.056850;0.044334;0.028654;0.515079;0.020257;0.017997;0.025863;0.003588;0.078262;0.020704;0.012483;0.002050;0.035583;0.032983;0.002998;0.012043;0.019214;0.005102;0.002935;0.004632;0.003390;0.000902;0.003909;0.002773;0.003085;0.004227;0.003082;0.001316;0.000755;0.001019;0.000102;0.000066;0.001001;0.000066;0.001121;0.000330;0.000030;0.000024
ph;0.002998;0.034133;0.139012;0.325415;0.028654;0.026971;0.020257;0.017997;0.033431;0.003588;0.081505;0.021244;0.012483;0.003672;0.128556;0.032983;0.002998;0.012043;0.019754;0.011048;0.002935;0.004632;0.004471;0.000902;0.003909;0.003313;0.004706;0.004227;0.003082;0.001856;0.000755;0.001019;0.000102;0.000066;0.001001;0.000066;0.001661;0.000330;0.000030;0.002186
p.;0.002998;0.028187;0.056850;0.044334;0.028654;0.015079;0.020257;0.017997;0.025863;0.003588;0.112761;0.020704;0.012483;0.002050;0.035583;0.032983;0.467526;0.012043;0.019214;0.005102;0.002935;0.004632;0.003390;0.000902;0.003909;0.002773;0.004057;0.004227;0.003082;0.001316;0.000755;0.001019;0.000102;0.000066;0.001001;0.000066;0.001121;0.000330;0.000030;0.000024
pg;0.002998;0.143435;0.084865;0.125895;0.037165;0.122172;0.020257;0.017997;0.123381;0.004298;0.078971;0.028860;0.012484;0.006661;0.077782;0.032984;0.002998;0.012043;0.019569;0.005812;0.002935;0.004632;0.003391;0.000903;0.003910;0.002773;0.003440;0.004227;0.003082;0.001671;0.000756;0.001020;0.000102;0.000066;0.001356;0.000066;0.001121;0.003167;0.000030;0.000733
pf;0.002998;0.059315;0.137590;0.069626;0.028654;0.063717;0.020257;0.017997;0.154754;0.005047;0.078262;0.036268;0.012483;0.006914;0.185875;0.032983;0.002998;0.013502;0.019214;0.005102;0.002935;0.004632;0.003390;0.000902;0.003909;0.003259;0.003085;0.004227;0.003568;0.001316;0.000755;0.001019;0.000102;0.000066;0.011702;0.000066;0.001121;0.000330;0.000030;0.000024
pá;0.001999;0.190773;0.037900;0.029556;0.061624;0.010812;0.013505;0.034018;0.017242;0.002392;0.129623;0.030507;0.015156;0.001367;0.023722;0.141958;0.001999;0.023215;0.021921;0.006439;0.001957;0.087940;0.002260;0.000602;0.002606;0.001849;0.002816;0.087670;0.005092;0.000877;0.008097;0.000680;0.000068;0.000044;0.000668;0.000044;0.000747;0.000220;0.000020;0.000016
