smoothed;3
(;r;e;s;u;m;p;t;i;o;n; ;f;h;);d;c;l;a;j;y;b;,;w;k;g;v;.;q;x;?;z;ó;ä;#
oo;0.005263;0.147368;0.005263;0.047368;0.005263;0.010526;0.042105;0.015789;0.010526;0.005263;0.042105;0.115789;0.010526;0.005263;0.005263;0.268421;0.005263;0.047368;0.005263;0.005263;0.005263;0.005263;0.026316;0.005263;0.100000;0.005263;0.005263;0.005263;0.005263;0.005263;0.005263;0.005263;0.005263;0.005263;0.005263
on;0.000446;0.000446;0.072225;0.151583;0.000446;0.004012;0.000446;0.035667;0.015604;0.027642;0.003121;0.425323;0.008917;0.000446;0.001783;0.022292;0.043246;0.021400;0.062416;0.000892;0.000446;0.000446;0.036112;0.000446;0.000446;0.021846;0.006242;0.031654;0.000446;0.000446;0.000892;0.000892;0.000446;0.000446;0.000446
o ;0.000769;0.039201;0.039969;0.069946;0.009992;0.056111;0.043812;0.193697;0.053036;0.030746;0.026902;0.004612;0.028440;0.033820;0.000769;0.043044;0.048424;0.020753;0.093005;0.004612;0.006149;0.086088;0.000769;0.025365;0.004612;0.022291;0.005380;0.000769;0.002306;0.000769;0.000769;0.000769;0.000769;0.000769;0.000769
of;0.000937;0.000937;0.001874;0.000937;0.000937;0.000937;0.000937;0.012184;0.005623;0.001874;0.000937;0.929709;0.021556;0.000937;0.000937;0.000937;0.000937;0.000937;0.000937;0.000937;0.000937;0.000937;0.000937;0.000937;0.000937;0.000937;0.000937;0.000937;0.000937;0.000937;0.000937;0.000937;0.000937;0.000937;0.000937
oh;0.012500;0.012500;0.550000;0.012500;0.012500;0.012500;0.012500;0.012500;0.025000;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.025000;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500
o);0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
od;0.004329;0.004329;0.090909;0.138528;0.164502;0.004329;0.004329;0.004329;0.116883;0.008658;0.004329;0.177489;0.004329;0.004329;0.004329;0.004329;0.004329;0.004329;0.125541;0.004329;0.008658;0.004329;0.017316;0.004329;0.004329;0.004329;0.004329;0.043290;0.004329;0.004329;0.004329;0.004329;0.004329;0.004329;0.004329
oc;0.004808;0.004808;0.197115;0.004808;0.076923;0.004808;0.004808;0.009615;0.350962;0.004808;0.004808;0.009615;0.004808;0.072115;0.004808;0.004808;0.048077;0.004808;0.105769;0.004808;0.004808;0.004808;0.004808;0.004808;0.004808;0.004808;0.004808;0.004808;0.004808;0.004808;0.004808;0.004808;0.004808;0.004808;0.004808
ol;0.003546;0.003546;0.124113;0.010638;0.056738;0.003546;0.003546;0.003546;0.411348;0.042553;0.003546;0.024823;0.003546;0.003546;0.003546;0.056738;0.003546;0.088652;0.010638;0.003546;0.010638;0.003546;0.007092;0.003546;0.003546;0.003546;0.074468;0.003546;0.003546;0.003546;0.003546;0.003546;0.003546;0.003546;0.003546
oa;0.012821;0.012821;0.012821;0.025641;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.448718;0.089744;0.038462;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821
oj;0.019231;0.019231;0.346154;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231
oy;0.009091;0.009091;0.100000;0.009091;0.009091;0.572727;0.009091;0.009091;0.018182;0.009091;0.009091;0.027273;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091
ob;0.006173;0.006173;0.012346;0.160494;0.006173;0.006173;0.006173;0.018519;0.024691;0.024691;0.006173;0.037037;0.006173;0.006173;0.006173;0.006173;0.006173;0.191358;0.043210;0.314815;0.006173;0.006173;0.006173;0.006173;0.006173;0.006173;0.012346;0.012346;0.006173;0.006173;0.006173;0.006173;0.006173;0.006173;0.006173
o,;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.476923;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385
ow;0.003509;0.003509;0.196491;0.021053;0.007018;0.003509;0.003509;0.045614;0.049123;0.003509;0.126316;0.301754;0.003509;0.007018;0.003509;0.003509;0.003509;0.024561;0.056140;0.003509;0.003509;0.003509;0.063158;0.003509;0.003509;0.003509;0.003509;0.021053;0.003509;0.003509;0.003509;0.003509;0.003509;0.003509;0.003509
ok;0.017544;0.017544;0.087719;0.052632;0.017544;0.017544;0.017544;0.017544;0.087719;0.017544;0.017544;0.228070;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544
og;0.006757;0.567568;0.054054;0.006757;0.027027;0.006757;0.006757;0.006757;0.074324;0.006757;0.033784;0.006757;0.006757;0.006757;0.006757;0.006757;0.006757;0.006757;0.020270;0.006757;0.027027;0.006757;0.006757;0.006757;0.006757;0.013514;0.006757;0.006757;0.006757;0.006757;0.006757;0.006757;0.006757;0.006757;0.006757
ov;0.005917;0.005917;0.556213;0.005917;0.005917;0.005917;0.005917;0.005917;0.213018;0.011834;0.005917;0.005917;0.005917;0.005917;0.005917;0.005917;0.005917;0.005917;0.029586;0.005917;0.005917;0.005917;0.011834;0.005917;0.005917;0.005917;0.005917;0.005917;0.005917;0.005917;0.005917;0.005917;0.005917;0.005917;0.005917
o.;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.046512;0.023256;0.023256;0.186047;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256
oq;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
ox;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.097561;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.048780;0.024390;0.024390;0.024390;0.024390;0.073171;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390
o?;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
oz;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
oó;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
oä;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
o#;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
n(;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
nr;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
ne;0.001481;0.142222;0.063704;0.171852;0.013333;0.040000;0.001481;0.034074;0.002963;0.001481;0.010370;0.139259;0.014815;0.001481;0.001481;0.096296;0.041481;0.022222;0.002963;0.001481;0.011852;0.001481;0.013333;0.063704;0.001481;0.017778;0.016296;0.011852;0.013333;0.035556;0.001481;0.002963;0.001481;0.001481;0.001481
ns;0.001595;0.001595;0.038278;0.001595;0.057416;0.001595;0.124402;0.081340;0.129187;0.004785;0.001595;0.349282;0.004785;0.006380;0.003190;0.001595;0.007974;0.001595;0.004785;0.001595;0.001595;0.001595;0.076555;0.009569;0.001595;0.001595;0.001595;0.065391;0.001595;0.001595;0.006380;0.001595;0.001595;0.001595;0.001595
nu;0.008929;0.008929;0.169643;0.008929;0.008929;0.205357;0.008929;0.133929;0.098214;0.008929;0.008929;0.008929;0.017857;0.008929;0.008929;0.008929;0.008929;0.008929;0.116071;0.008929;0.008929;0.008929;0.008929;0.008929;0.008929;0.008929;0.008929;0.008929;0.008929;0.008929;0.008929;0.008929;0.008929;0.008929;0.008929
nm;0.019608;0.019608;0.313725;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.039216;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608
np;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.055556;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
nt;0.000704;0.085151;0.094300;0.092892;0.003519;0.000704;0.000704;0.000704;0.094300;0.034483;0.000704;0.338494;0.000704;0.009852;0.000704;0.000704;0.000704;0.034483;0.049261;0.000704;0.003519;0.000704;0.108374;0.000704;0.000704;0.001407;0.000704;0.030964;0.000704;0.000704;0.003519;0.000704;0.000704;0.000704;0.002111
ni;0.002778;0.002778;0.038889;0.161111;0.011111;0.044444;0.002778;0.205556;0.002778;0.205556;0.152778;0.002778;0.036111;0.002778;0.002778;0.002778;0.047222;0.005556;0.002778;0.002778;0.002778;0.002778;0.005556;0.002778;0.008333;0.011111;0.005556;0.002778;0.002778;0.002778;0.002778;0.002778;0.002778;0.002778;0.005556
no;0.002217;0.028825;0.002217;0.006652;0.017738;0.130820;0.011086;0.470067;0.002217;0.004435;0.022173;0.084257;0.002217;0.002217;0.002217;0.002217;0.004435;0.017738;0.002217;0.002217;0.002217;0.002217;0.002217;0.137472;0.002217;0.004435;0.011086;0.004435;0.002217;0.002217;0.002217;0.002217;0.002217;0.002217;0.002217
nn;0.008547;0.008547;0.358974;0.008547;0.059829;0.008547;0.008547;0.008547;0.145299;0.153846;0.008547;0.008547;0.008547;0.008547;0.008547;0.008547;0.008547;0.008547;0.017094;0.008547;0.008547;0.008547;0.017094;0.008547;0.008547;0.008547;0.008547;0.008547;0.008547;0.008547;0.008547;0.008547;0.008547;0.008547;0.008547
n ;0.000412;0.039951;0.036656;0.054366;0.022652;0.028418;0.051071;0.252471;0.074959;0.087315;0.009061;0.005354;0.036244;0.016886;0.000412;0.017298;0.037068;0.011944;0.118616;0.002471;0.004942;0.027183;0.001647;0.044893;0.001236;0.009061;0.002883;0.000824;0.001236;0.000412;0.000412;0.000412;0.000412;0.000412;0.000412
nf;0.009901;0.128713;0.108911;0.009901;0.019802;0.009901;0.009901;0.009901;0.079208;0.316832;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901;0.039604;0.029703;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901
nh;0.023810;0.023810;0.047619;0.023810;0.023810;0.023810;0.023810;0.023810;0.047619;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.142857;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810
n);0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
nd;0.000771;0.002313;0.052429;0.069391;0.013878;0.037008;0.000771;0.000771;0.046261;0.011565;0.000771;0.656130;0.000771;0.000771;0.000771;0.000771;0.000771;0.008481;0.042406;0.000771;0.000771;0.000771;0.034695;0.000771;0.000771;0.000771;0.000771;0.007710;0.000771;0.000771;0.000771;0.000771;0.000771;0.000771;0.000771
nc;0.002179;0.071895;0.518519;0.002179;0.004357;0.002179;0.002179;0.013072;0.130719;0.032680;0.002179;0.004357;0.002179;0.021786;0.002179;0.002179;0.002179;0.106754;0.002179;0.002179;0.039216;0.002179;0.002179;0.002179;0.004357;0.002179;0.002179;0.002179;0.002179;0.002179;0.002179;0.002179;0.002179;0.002179;0.002179
nl;0.008696;0.008696;0.017391;0.008696;0.008696;0.008696;0.008696;0.008696;0.017391;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.173913;0.008696;0.521739;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696
na;0.002591;0.025907;0.002591;0.005181;0.007772;0.020725;0.002591;0.217617;0.002591;0.002591;0.059585;0.005181;0.002591;0.002591;0.002591;0.010363;0.018135;0.479275;0.002591;0.002591;0.002591;0.062176;0.002591;0.002591;0.002591;0.025907;0.005181;0.002591;0.002591;0.002591;0.002591;0.002591;0.002591;0.002591;0.002591
nj;0.023810;0.023810;0.047619;0.023810;0.095238;0.023810;0.023810;0.023810;0.023810;0.095238;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810
ny;0.011364;0.011364;0.022727;0.011364;0.011364;0.011364;0.011364;0.056818;0.022727;0.022727;0.011364;0.488636;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.045455;0.022727;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364
nb;0.027778;0.027778;0.027778;0.027778;0.055556;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
n,;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211;0.788820;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211
nw;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.055556;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
nk;0.009434;0.009434;0.047170;0.075472;0.009434;0.009434;0.009434;0.009434;0.122642;0.009434;0.028302;0.386792;0.009434;0.009434;0.009434;0.009434;0.009434;0.018868;0.047170;0.009434;0.009434;0.009434;0.018868;0.009434;0.009434;0.009434;0.009434;0.009434;0.009434;0.009434;0.009434;0.009434;0.009434;0.009434;0.009434
ng;0.001250;0.012500;0.085000;0.021250;0.003750;0.001250;0.001250;0.013750;0.002500;0.007500;0.002500;0.750000;0.002500;0.001250;0.002500;0.005000;0.001250;0.003750;0.003750;0.001250;0.001250;0.001250;0.033750;0.001250;0.001250;0.001250;0.001250;0.026250;0.001250;0.001250;0.001250;0.001250;0.001250;0.001250;0.001250
nv;0.011765;0.011765;0.223529;0.011765;0.011765;0.011765;0.011765;0.011765;0.176471;0.211765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.023529;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765
n.;0.008065;0.008065;0.008065;0.008065;0.008065;0.008065;0.008065;0.008065;0.008065;0.008065;0.008065;0.008065;0.008065;0.008065;0.725806;0.008065;0.008065;0.008065;0.008065;0.008065;0.008065;0.008065;0.008065;0.008065;0.008065;0.008065;0.008065;0.008065;0.008065;0.008065;0.008065;0.008065;0.008065;0.008065;0.008065
nq;0.027778;0.027778;0.027778;0.027778;0.055556;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
nx;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.055556;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
n?;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.055556;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
nz;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.055556
nó;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
nä;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
n#;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
 (;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
 r;0.000965;0.000965;0.750000;0.000965;0.055985;0.000965;0.000965;0.000965;0.035714;0.051158;0.000965;0.000965;0.000965;0.000965;0.000965;0.000965;0.000965;0.000965;0.078185;0.000965;0.000965;0.000965;0.000965;0.000965;0.000965;0.000965;0.000965;0.000965;0.000965;0.000965;0.000965;0.000965;0.000965;0.000965;0.000965
 e;0.001174;0.004695;0.001174;0.044601;0.203052;0.065728;0.001174;0.003521;0.012911;0.001174;0.159624;0.002347;0.057512;0.001174;0.001174;0.008216;0.072770;0.023474;0.043427;0.001174;0.002347;0.001174;0.001174;0.001174;0.001174;0.001174;0.072770;0.001174;0.015258;0.186620;0.001174;0.001174;0.001174;0.001174;0.001174
 s;0.000681;0.003404;0.127297;0.000681;0.114364;0.011572;0.055140;0.191967;0.072158;0.130020;0.000681;0.049013;0.000681;0.110960;0.000681;0.000681;0.027229;0.002723;0.076923;0.000681;0.008850;0.000681;0.000681;0.003404;0.001361;0.000681;0.000681;0.000681;0.000681;0.000681;0.000681;0.000681;0.000681;0.000681;0.001361
 u;0.002809;0.067416;0.002809;0.233146;0.002809;0.002809;0.115169;0.011236;0.002809;0.002809;0.477528;0.002809;0.002809;0.002809;0.002809;0.002809;0.002809;0.008427;0.002809;0.002809;0.002809;0.002809;0.002809;0.002809;0.008427;0.002809;0.002809;0.002809;0.002809;0.002809;0.002809;0.002809;0.002809;0.002809;0.002809
 m;0.001015;0.118782;0.205076;0.001015;0.085279;0.001015;0.001015;0.001015;0.069036;0.173604;0.001015;0.001015;0.001015;0.001015;0.001015;0.001015;0.003046;0.001015;0.251777;0.001015;0.065990;0.001015;0.001015;0.001015;0.001015;0.001015;0.001015;0.001015;0.001015;0.001015;0.001015;0.001015;0.001015;0.001015;0.001015
 p;0.000717;0.428981;0.082496;0.001435;0.032281;0.000717;0.004304;0.000717;0.005022;0.199426;0.000717;0.000717;0.000717;0.004304;0.000717;0.000717;0.000717;0.043759;0.176471;0.000717;0.000717;0.000717;0.000717;0.000717;0.000717;0.000717;0.000717;0.004304;0.000717;0.000717;0.000717;0.000717;0.000717;0.000717;0.000717
 t;0.000218;0.027699;0.017012;0.000218;0.002617;0.000218;0.000218;0.000218;0.012432;0.219411;0.000218;0.000218;0.000218;0.681570;0.000218;0.000218;0.000218;0.000218;0.025736;0.000218;0.002399;0.000218;0.000218;0.005453;0.000218;0.000218;0.000218;0.000218;0.000218;0.000218;0.000218;0.000218;0.000218;0.000218;0.000218
 i;0.000473;0.001418;0.000473;0.223535;0.000473;0.067580;0.000473;0.112004;0.000473;0.000473;0.448488;0.106333;0.020794;0.000473;0.000473;0.003781;0.000473;0.000945;0.000473;0.000473;0.000473;0.000473;0.000473;0.000473;0.000473;0.001890;0.000473;0.001890;0.000473;0.000473;0.000473;0.000473;0.000473;0.000473;0.000473
 o;0.000530;0.052994;0.000530;0.000530;0.065183;0.001590;0.029147;0.016958;0.001590;0.000530;0.211447;0.000530;0.541600;0.000530;0.000530;0.000530;0.005829;0.000530;0.000530;0.000530;0.000530;0.039746;0.000530;0.011129;0.000530;0.000530;0.010599;0.000530;0.000530;0.000530;0.000530;0.000530;0.000530;0.000530;0.000530
 n;0.001957;0.001957;0.262231;0.001957;0.046967;0.001957;0.001957;0.001957;0.007828;0.534247;0.001957;0.001957;0.001957;0.001957;0.001957;0.001957;0.001957;0.001957;0.088063;0.001957;0.001957;0.001957;0.001957;0.001957;0.001957;0.003914;0.001957;0.001957;0.001957;0.001957;0.001957;0.001957;0.001957;0.001957;0.001957
  ;0.004202;0.054622;0.012605;0.037815;0.004202;0.029412;0.054622;0.058824;0.079832;0.092437;0.012605;0.025210;0.012605;0.021008;0.004202;0.021008;0.088235;0.012605;0.184874;0.025210;0.012605;0.025210;0.008403;0.054622;0.004202;0.004202;0.016807;0.004202;0.004202;0.004202;0.004202;0.008403;0.004202;0.004202;0.004202
 f;0.001085;0.095445;0.056399;0.001085;0.145336;0.001085;0.001085;0.001085;0.130152;0.413232;0.001085;0.001085;0.002169;0.001085;0.001085;0.001085;0.001085;0.019523;0.108460;0.001085;0.001085;0.001085;0.001085;0.001085;0.001085;0.001085;0.001085;0.001085;0.001085;0.001085;0.001085;0.001085;0.001085;0.001085;0.001085
 h;0.001445;0.001445;0.121387;0.001445;0.011561;0.001445;0.001445;0.001445;0.092486;0.134393;0.001445;0.001445;0.001445;0.001445;0.001445;0.001445;0.001445;0.001445;0.591040;0.001445;0.002890;0.001445;0.001445;0.001445;0.001445;0.001445;0.001445;0.001445;0.001445;0.001445;0.001445;0.001445;0.001445;0.005780;0.001445
 );0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
 d;0.001391;0.061196;0.406120;0.001391;0.029207;0.001391;0.001391;0.001391;0.212796;0.162726;0.001391;0.001391;0.001391;0.001391;0.001391;0.001391;0.001391;0.001391;0.084840;0.001391;0.001391;0.001391;0.001391;0.002782;0.001391;0.001391;0.001391;0.001391;0.001391;0.001391;0.001391;0.001391;0.001391;0.001391;0.002782
 c;0.000746;0.041014;0.041014;0.000746;0.016406;0.000746;0.000746;0.000746;0.017897;0.661447;0.000746;0.008203;0.000746;0.037286;0.000746;0.000746;0.000746;0.041760;0.114094;0.000746;0.000746;0.000746;0.000746;0.000746;0.000746;0.000746;0.000746;0.002237;0.000746;0.000746;0.000746;0.000746;0.000746;0.000746;0.000746
